 

stn;time;tnd00xy0
SBE;1968;62
SBE;1969;84
SBE;1970;87
SBE;1971;52
SBE;1972;59
SBE;1973;64
SBE;1974;46
SBE;1975;47
SBE;1976;54
SBE;1977;58
SBE;1978;63
SBE;1979;67
SBE;1980;70
SBE;1981;74
SBE;1982;57
SBE;1983;47
SBE;1984;90
SBE;1985;71
SBE;1986;74
SBE;1987;63
SBE;1988;54
SBE;1989;22
SBE;1990;42
SBE;1991;51
SBE;1992;39
SBE;1993;48
SBE;1994;38
SBE;1995;56
SBE;1996;70
SBE;1997;37
SBE;1998;49
SBE;1999;68
SBE;2000;41
SBE;2001;58
SBE;2002;20
SBE;2003;53
SBE;2004;63
SBE;2005;75
SBE;2006;54
SBE;2007;30
SBE;2008;56
SBE;2009;69
SBE;2010;83
SBE;2011;36
SBE;2012;53
SBE;2013;56
SBE;2014;46
SBE;2015;38
SBE;2016;36
SBE;2017;51
SBE;2018;56
SBE;2019;40
SBE;2020;33
