 

stn;time;rzz150yx
ALT;1981;8.8
ALT;1982;12.2
ALT;1983;6.0
ALT;1984;5.8
ALT;1985;6.2
ALT;1986;9.4
ALT;1987;10.7
ALT;1988;5.8
ALT;1989;4.6
ALT;1990;7.5
ALT;1991;4.0
ALT;1992;8.0
ALT;1993;10.6
ALT;1994;11.8
ALT;1995;4.2
ALT;1996;5.5
ALT;1997;6.3
ALT;1998;8.4
ALT;1999;7.5
ALT;2000;5.2
ALT;2001;10.5
ALT;2002;5.5
ALT;2003;11.4
ALT;2004;6.0
ALT;2005;8.1
ALT;2006;9.7
ALT;2007;26.0
ALT;2008;6.8
ALT;2009;6.8
ALT;2010;11.3
ALT;2011;8.4
ALT;2012;7.9
ALT;2013;5.3
ALT;2014;13.7
ALT;2015;4.1
ALT;2016;8.4
ALT;2017;9.2
ALT;2018;13.2
ALT;2019;8.2
ALT;2020;9.0
