 

stn;time;rhs150m0
KLA;192209;158.4
KLA;192210;60.2
KLA;192211;119.5
KLA;192212;103.5
KLA;192301;86.7
KLA;192302;87.6
KLA;192303;14.2
KLA;192304;85.8
KLA;192305;98.2
KLA;192306;110.6
KLA;192307;63.7
KLA;192308;98.2
KLA;192309;94.7
KLA;192310;121.2
KLA;192311;86.7
KLA;192312;175.2
KLA;192401;20.4
KLA;192402;44.2
KLA;192403;16.8
KLA;192404;83.2
KLA;192405;132.7
KLA;192406;168.1
KLA;192407;153.1
KLA;192408;188.5
KLA;192409;93.8
KLA;192410;50.4
KLA;192411;13.3
KLA;192412;51.3
KLA;192501;30.1
KLA;192502;46.9
KLA;192503;36.3
KLA;192504;79.6
KLA;192505;45.1
KLA;192506;48.7
KLA;192507;92.0
KLA;192508;125.6
KLA;192509;77.9
KLA;192510;47.8
KLA;192511;74.3
KLA;192512;127.4
KLA;192601;63.7
KLA;192602;52.2
KLA;192603;95.6
KLA;192604;63.7
KLA;192605;106.2
KLA;192606;211.5
KLA;192607;161.9
KLA;192608;53.1
KLA;192609;29.2
KLA;192610;90.3
KLA;192611;77.9
KLA;192612;87.6
KLA;192701;100.9
KLA;192702;52.2
KLA;192703;101.8
KLA;192704;114.1
KLA;192705;67.2
KLA;192706;122.1
KLA;192707;137.2
KLA;192708;138.0
KLA;192709;179.6
KLA;192710;32.7
KLA;192711;87.6
KLA;192712;22.1
KLA;192801;61.9
KLA;192802;117.7
KLA;192803;37.2
KLA;192804;110.6
KLA;192805;108.8
KLA;192806;97.3
KLA;192807;63.7
KLA;192808;199.1
KLA;192809;77.0
KLA;192810;136.3
KLA;192811;170.8
KLA;192812;77.0
KLA;192901;50.4
KLA;192902;13.3
KLA;192903;15.0
KLA;192904;72.6
KLA;192905;84.9
KLA;192906;100.0
KLA;192907;107.1
KLA;192908;176.1
KLA;192909;78.8
KLA;192910;91.1
KLA;192911;51.3
KLA;192912;123.9
KLA;193001;29.2
KLA;193002;6.2
KLA;193003;64.6
KLA;193004;92.0
KLA;193005;181.4
KLA;193006;64.6
KLA;193007;175.2
KLA;193008;189.4
KLA;193009;124.8
KLA;193010;128.3
KLA;193011;73.4
KLA;193012;58.4
KLA;193101;153.6
KLA;193102;102.9
KLA;193103;93.7
KLA;193104;56.8
KLA;193105;74.6
KLA;193106;114.6
KLA;193107;227.6
KLA;193108;214.9
