Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94859

Filename                                Filetype  Station                              Parameter                                                   Period
order_94859_DLBER_fu3010m1_1_legend.txt Legend    Berus                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_WSLBTB_fu3010m1_1_data.txt  Data      Bettlachstock Bestand                Gust peak (one second); monthly maximum                     202102-202104
order_94859_WSLBTB_fu3010m1_1_legend.txt Legend    Bettlachstock Bestand                Gust peak (one second); monthly maximum                     202102-202104
order_94859_WSLBTF_fu3010m1_1_data.txt  Data      Bettlachstock Freiland               Gust peak (one second); monthly maximum                     202102-202104
order_94859_WSLBTF_fu3010m1_1_legend.txt Legend    Bettlachstock Freiland               Gust peak (one second); monthly maximum                     202102-202104
order_94859_NEBEV_fu3010m1_1_data.txt   Data      Bevaix                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_NEBEV_fu3010m1_1_legend.txt Legend    Bevaix                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_BEZ_fu3010m1_1_data.txt     Data      Beznau                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_BEZ_fu3010m1_1_legend.txt   Legend    Beznau                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_BIA_fu3010m1_1_data.txt     Data      Biasca                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_BIA_fu3010m1_1_legend.txt   Legend    Biasca                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_BIN_fu3010m1_1_data.txt     Data      Binn                                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_BIN_fu3010m1_1_legend.txt   Legend    Binn                                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_TIBIO_fu3010m1_1_data.txt   Data      Bioggio                              Gust peak (one second); monthly maximum                     202102-202104
order_94859_TIBIO_fu3010m1_1_legend.txt Legend    Bioggio                              Gust peak (one second); monthly maximum                     202102-202104
order_94859_BIZ_fu3010m1_1_data.txt     Data      Bischofszell                         Gust peak (one second); monthly maximum                     202102-202104
order_94859_BIZ_fu3010m1_1_legend.txt   Legend    Bischofszell                         Gust peak (one second); monthly maximum                     202102-202104
order_94859_BIV_fu3010m1_1_data.txt     Data      Bivio                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_BIV_fu3010m1_1_legend.txt   Legend    Bivio                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_BIE_fu3010m1_1_data.txt     Data      Bière                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_BIE_fu3010m1_1_legend.txt   Legend    Bière                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_BLA_fu3010m1_1_data.txt     Data      Blatten, Lötschental                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_BLA_fu3010m1_1_legend.txt   Legend    Blatten, Lötschental                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_BOL_fu3010m1_1_data.txt     Data      Boltigen                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_BOL_fu3010m1_1_legend.txt   Legend    Boltigen                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_MMBOY_fu3010m1_1_data.txt   Data      Boudry                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_MMBOY_fu3010m1_1_legend.txt Legend    Boudry                               Gust peak (one second); monthly maximum                     202102-202104
