 

stn;time;hns000y0
PIO;1980;216
PIO;1981;381
PIO;1982;254
PIO;1983;257
PIO;1984;340
PIO;1985;379
PIO;1986;406
PIO;1987;240
PIO;1988;294
PIO;1989;105
PIO;1990;343
PIO;1991;153
PIO;1992;173
PIO;1993;128
PIO;1994;171
PIO;1995;261
PIO;1996;236
PIO;1997;158
PIO;1998;154
PIO;1999;354
PIO;2000;116
PIO;2001;142
PIO;2002;79
PIO;2003;238
PIO;2004;299
PIO;2005;103
PIO;2006;257
PIO;2007;118
PIO;2008;493
PIO;2009;487
PIO;2010;196
PIO;2011;186
PIO;2012;196
PIO;2013;208
PIO;2014;330
