 

stn;time;hto000y0
ROB;1961;6
ROB;1962;3
ROB;1963;9
ROB;1964;1
ROB;1965;7
ROB;1966;7
ROB;1967;1
ROB;1968;4
ROB;1969;10
ROB;1970;8
ROB;1971;7
ROB;1972;4
ROB;1973;5
ROB;1974;2
ROB;1975;5
ROB;1976;2
ROB;1977;19
ROB;1978;13
ROB;1979;12
ROB;1980;11
ROB;1981;1
ROB;1982;3
ROB;1983;1
ROB;1984;1
ROB;1985;5
ROB;1986;12
ROB;1987;1
ROB;1988;3
ROB;1989;0
ROB;1990;1
ROB;1991;4
ROB;1992;1
ROB;1993;1
ROB;1994;2
ROB;1995;5
ROB;1996;4
ROB;1997;4
ROB;1998;1
ROB;1999;3
ROB;2000;2
ROB;2001;5
ROB;2002;0
ROB;2003;1
ROB;2004;3
ROB;2005;3
ROB;2006;9
ROB;2007;0
ROB;2008;6
ROB;2009;8
ROB;2010;6
ROB;2011;2
ROB;2012;2
ROB;2013;2
ROB;2014;8
ROB;2015;1
ROB;2016;1
ROB;2017;1
ROB;2018;4
ROB;2019;2
ROB;2020;3
