 

stn;time;hns000y0
SAE;1931;1343
SAE;1932;1875
SAE;1933;1996
SAE;1934;1214
SAE;1935;1748
SAE;1936;1334
SAE;1937;1122
SAE;1938;1075
SAE;1939;1531
SAE;1940;1257
SAE;1941;1096
SAE;1942;1113
SAE;1943;1096
SAE;1944;1195
SAE;1945;1272
SAE;1946;949
SAE;1947;757
SAE;1948;1254
SAE;1949;988
SAE;1950;1300
SAE;1951;1398
SAE;1952;1819
SAE;1953;909
SAE;1954;1392
SAE;1955;1578
SAE;1956;1490
SAE;1957;1291
SAE;1958;2684
SAE;1959;1366
SAE;1960;1594
SAE;1961;1572
SAE;1962;2224
SAE;1963;1175
SAE;1964;1463
SAE;1965;2469
SAE;1966;2048
SAE;1967;1656
SAE;1968;1558
SAE;1969;1524
SAE;1970;1800
SAE;1971;835
SAE;1972;909
SAE;1973;1657
SAE;1974;1310
SAE;1975;922
SAE;1976;953
SAE;1977;1154
SAE;1978;1327
SAE;1979;1401
SAE;1980;1545
SAE;1981;1494
SAE;1982;883
SAE;1983;1068
SAE;1984;1162
SAE;1985;1103
SAE;1986;1235
SAE;1987;1051
SAE;1988;1584
SAE;1989;795
SAE;1990;1131
SAE;1991;1178
SAE;1992;1118
SAE;1993;1085
SAE;1994;1037
SAE;1995;1702
SAE;1996;1174
SAE;1997;1075
SAE;1998;1336
SAE;1999;1534
SAE;2000;1251
SAE;2001;1371
SAE;2002;976
SAE;2003;920
SAE;2004;942
SAE;2005;1118
SAE;2006;655
SAE;2007;948
SAE;2008;879
SAE;2009;879
SAE;2010;748
SAE;2011;703
SAE;2012;844
SAE;2013;773
SAE;2014;627
SAE;2015;648
SAE;2016;745
SAE;2017;1128
SAE;2018;681
SAE;2019;1283
SAE;2020;868
