 

stn;time;hto000y0
RAG;1959;1
RAG;1960;0
RAG;1961;1
RAG;1962;2
RAG;1963;3
RAG;1964;1
RAG;1965;2
RAG;1966;2
RAG;1967;2
RAG;1968;8
RAG;1969;3
RAG;1970;3
RAG;1971;4
RAG;1972;0
RAG;1973;3
RAG;1974;1
RAG;1975;0
RAG;1976;1
RAG;1977;1
RAG;1978;2
RAG;1979;1
RAG;1980;3
RAG;1981;10
RAG;1982;0
RAG;1983;1
RAG;1984;1
RAG;1985;2
RAG;1986;3
RAG;1987;2
RAG;1988;1
RAG;1989;0
RAG;1990;1
RAG;1991;0
RAG;1992;0
RAG;1993;1
RAG;1994;0
RAG;1995;2
RAG;1996;0
RAG;1997;0
RAG;1998;0
RAG;1999;4
RAG;2000;1
RAG;2001;0
RAG;2002;0
RAG;2003;3
RAG;2004;1
RAG;2005;5
RAG;2006;2
RAG;2007;0
RAG;2008;1
RAG;2009;1
RAG;2010;1
RAG;2011;1
