 

stn;time;hns000y0
GEO;1931;31
GEO;1932;28
GEO;1933;54
GEO;1934;6
GEO;1935;43
GEO;1936;3
GEO;1937;48
GEO;1938;78
GEO;1939;51
GEO;1940;32
GEO;1941;61
GEO;1942;42
GEO;1943;21
GEO;1944;30
GEO;1945;24
GEO;1946;12
GEO;1947;120
GEO;1948;48
GEO;1949;27
GEO;1950;41
GEO;1951;21
GEO;1952;72
GEO;1953;15
GEO;1954;40
GEO;1955;84
GEO;1956;42
GEO;1957;10
GEO;1958;35
GEO;1959;15
GEO;1960;55
GEO;1961;17
GEO;1962;33
GEO;1963;68
GEO;1964;47
GEO;1965;66
