 

stn;time;hto000y0
BIV;1966;32
BIV;1967;35
BIV;1968;30
BIV;1969;18
BIV;1970;33
BIV;1971;27
BIV;1972;14
BIV;1973;19
BIV;1974;26
BIV;1975;50
BIV;1976;19
BIV;1977;31
BIV;1978;30
BIV;1979;34
BIV;1980;39
BIV;1981;36
BIV;1982;38
BIV;1983;34
BIV;1984;35
BIV;1985;29
BIV;1986;31
BIV;1987;30
BIV;1988;25
BIV;1989;21
BIV;1990;21
BIV;1991;24
BIV;1992;46
BIV;1993;23
BIV;1994;25
BIV;1995;31
BIV;1996;21
BIV;1997;23
BIV;1998;23
BIV;1999;41
BIV;2000;36
BIV;2001;28
BIV;2002;22
BIV;2003;24
BIV;2004;29
BIV;2005;28
BIV;2006;27
BIV;2007;22
BIV;2008;35
