 

stn;time;rhh150yx
NAP;1981;27.1
NAP;1982;32.7
NAP;1983;17.3
NAP;1984;16.0
NAP;1985;12.7
NAP;1986;14.2
NAP;1987;16.1
NAP;1988;34.3
NAP;1989;22.6
NAP;1990;26.0
NAP;1991;12.0
NAP;1992;21.3
NAP;1993;34.4
NAP;1994;14.9
NAP;1995;20.2
NAP;1996;29.2
NAP;1997;23.5
NAP;1998;18.7
NAP;1999;25.0
NAP;2000;19.9
NAP;2001;11.0
NAP;2002;20.7
NAP;2003;18.2
NAP;2004;21.2
NAP;2005;19.3
NAP;2006;46.4
NAP;2007;17.7
NAP;2008;26.0
NAP;2009;35.5
NAP;2010;23.9
NAP;2011;27.3
NAP;2012;41.9
NAP;2013;25.6
NAP;2014;29.1
NAP;2015;24.6
NAP;2016;21.5
NAP;2017;24.4
NAP;2018;19.4
NAP;2019;17.5
NAP;2020;16.7
