Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94075

Filename                                Filetype  Station                              Parameter                                                   Period
order_94075_TGAMR_rhh150mx_19_data.txt  Data      Amriswil                             Precipitation; maximum total per hour of the month          201909-201911
order_94075_TGAMR_rhh150mx_19_legend.txt Legend    Amriswil                             Precipitation; maximum total per hour of the month          201909-201911
order_94075_TGAMR_rhh150mx_20_data.txt  Data      Amriswil                             Precipitation; maximum total per hour of the month          201912-202012
order_94075_TGAMR_rhh150mx_20_legend.txt Legend    Amriswil                             Precipitation; maximum total per hour of the month          201912-202012
order_94075_TGAMR_rhh150mx_21_data.txt  Data      Amriswil                             Precipitation; maximum total per hour of the month          202101-202102
order_94075_TGAMR_rhh150mx_21_legend.txt Legend    Amriswil                             Precipitation; maximum total per hour of the month          202101-202102
order_94075_TGARE_rhh150mx_1_data.txt   Data      Arenenberg                           Precipitation; maximum total per hour of the month          201008-201107
order_94075_TGARE_rhh150mx_1_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201008-201107
order_94075_TGARE_rhh150mx_2_data.txt   Data      Arenenberg                           Precipitation; maximum total per hour of the month          201108-201112
order_94075_TGARE_rhh150mx_2_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201108-201112
order_94075_TGARE_rhh150mx_3_data.txt   Data      Arenenberg                           Precipitation; maximum total per hour of the month          201201-201211
order_94075_TGARE_rhh150mx_3_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201201-201211
order_94075_TGARE_rhh150mx_4_data.txt   Data      Arenenberg                           Precipitation; maximum total per hour of the month          201212-201303
order_94075_TGARE_rhh150mx_4_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201212-201303
order_94075_TGARE_rhh150mx_5_data.txt   Data      Arenenberg                           Precipitation; maximum total per hour of the month          201304-201306
order_94075_TGARE_rhh150mx_5_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201304-201306
order_94075_TGARE_rhh150mx_6_data.txt   Data      Arenenberg                           Precipitation; maximum total per hour of the month          201307-201308
order_94075_TGARE_rhh150mx_6_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201307-201308
order_94075_TGARE_rhh150mx_7_data.txt   Data      Arenenberg                           Precipitation; maximum total per hour of the month          201401-201404
order_94075_TGARE_rhh150mx_7_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201401-201404
order_94075_TGARE_rhh150mx_8_data.txt   Data      Arenenberg                           Precipitation; maximum total per hour of the month          201405-201407
order_94075_TGARE_rhh150mx_8_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201405-201407
order_94075_TGARE_rhh150mx_9_data.txt   Data      Arenenberg                           Precipitation; maximum total per hour of the month          201408-201504
order_94075_TGARE_rhh150mx_9_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201408-201504
