 

stn;time;hns000y0
ALS;1961;54
ALS;1962;166
ALS;1963;104
ALS;1964;150
ALS;1965;163
ALS;1966;173
ALS;1967;137
ALS;1968;213
ALS;1969;212
ALS;1970;152
ALS;1971;134
ALS;1972;27
ALS;1973;156
ALS;1974;32
ALS;1975;42
ALS;1976;114
ALS;1977;122
ALS;1978;145
ALS;1979;117
ALS;1980;122
ALS;1981;201
ALS;1982;69
ALS;1983;83
ALS;1984;96
ALS;1985;178
ALS;1986;158
ALS;1987;96
ALS;1988;150
ALS;1989;1
ALS;1990;56
ALS;1991;34
ALS;1992;29
ALS;1993;62
ALS;1994;27
ALS;1995;135
ALS;1996;97
ALS;1997;20
ALS;1998;83
ALS;1999;357
ALS;2000;67
ALS;2001;162
ALS;2002;27
ALS;2003;133
