 

stn;time;hns000y0
AIR;1931;195
AIR;1932;110
AIR;1933;103
AIR;1934;554
AIR;1935;228
AIR;1936;510
AIR;1937;541
AIR;1938;148
AIR;1939;372
AIR;1940;196
AIR;1941;379
AIR;1942;160
AIR;1943;186
AIR;1944;237
AIR;1945;319
AIR;1946;502
AIR;1947;503
AIR;1948;258
AIR;1949;301
AIR;1950;890
AIR;1951;958
AIR;1952;566
AIR;1953;61
AIR;1954;650
AIR;1955;423
AIR;1956;461
AIR;1957;500
AIR;1958;622
AIR;1959;523
AIR;1960;496
AIR;1961;289
AIR;1962;455
AIR;1963;299
AIR;1964;368
AIR;1965;460
AIR;1966;488
AIR;1967;306
AIR;1968;751
AIR;1969;387
AIR;1970;611
AIR;1971;369
AIR;1972;520
AIR;1973;304
AIR;1974;490
AIR;1975;610
AIR;1976;250
AIR;1977;509
AIR;1978;675
AIR;1979;468
AIR;1980;312
AIR;1981;623
AIR;1982;298
AIR;1983;349
AIR;1984;386
AIR;1985;423
AIR;1986;521
AIR;1987;329
AIR;1988;404
AIR;1989;204
AIR;1990;414
