 

stn;time;tnd00xy0
COV;1980;245
COV;1981;213
COV;1982;220
COV;1983;227
COV;1984;254
COV;1985;238
COV;1986;218
COV;1987;228
COV;1988;234
COV;1989;238
COV;1990;227
COV;1991;246
COV;1992;233
COV;1993;255
COV;1994;226
COV;1995;252
COV;1996;264
COV;1997;237
COV;1998;244
COV;1999;220
COV;2000;231
COV;2001;237
COV;2002;242
COV;2003;216
COV;2004;234
COV;2005;224
COV;2006;227
COV;2007;215
COV;2008;244
COV;2009;223
COV;2010;244
COV;2011;214
COV;2012;223
COV;2013;241
COV;2014;238
COV;2015;216
COV;2016;235
COV;2017;232
COV;2018;203
COV;2019;229
COV;2020;230
