 

stn;time;rhh150yx
SCU;1981;13.4
SCU;1982;8.6
SCU;1983;13.7
SCU;1984;9.5
SCU;1985;8.7
SCU;1986;13.3
SCU;1987;7.9
SCU;1988;10.7
SCU;1989;15.2
SCU;1990;8.1
SCU;1991;20.5
SCU;1992;10.0
SCU;1993;10.4
SCU;1994;12.3
SCU;1995;12.9
SCU;1996;14.9
SCU;1997;9.3
SCU;1998;7.2
SCU;1999;10.3
SCU;2000;10.9
SCU;2001;9.7
SCU;2002;20.2
SCU;2003;8.4
SCU;2004;12.8
SCU;2005;9.3
SCU;2006;14.6
SCU;2007;6.8
SCU;2008;10.7
SCU;2009;7.7
SCU;2010;6.0
SCU;2011;8.0
SCU;2012;12.5
SCU;2013;6.5
SCU;2014;8.8
SCU;2015;11.2
SCU;2016;17.2
SCU;2017;14.8
SCU;2018;15.6
SCU;2019;7.5
SCU;2020;8.1
