 

stn;time;tre200y0
DLBWB;1949;8.4
DLBWB;1950;7.9
DLBWB;1951;7.9
DLBWB;1952;7.6
DLBWB;1953;7.7
DLBWB;1954;6.3
DLBWB;1955;6.5
DLBWB;1956;6.1
DLBWB;1957;7.8
DLBWB;1958;7.6
DLBWB;1959;8.7
DLBWB;1960;8.3
DLBWB;1961;9.0
DLBWB;1962;7.1
DLBWB;1963;6.9
DLBWB;1964;8.2
DLBWB;1965;7.5
DLBWB;1966;8.6
DLBWB;1967;8.5
DLBWB;1968;7.9
DLBWB;1969;7.8
DLBWB;1970;7.9
DLBWB;1971;8.2
DLBWB;1972;7.6
DLBWB;1973;7.9
DLBWB;1974;8.6
DLBWB;1975;8.4
DLBWB;1976;8.5
DLBWB;1977;8.6
DLBWB;1978;7.6
DLBWB;1979;8.1
DLBWB;1980;7.6
DLBWB;1981;8.2
DLBWB;1982;8.6
DLBWB;1983;8.7
DLBWB;1984;7.7
DLBWB;1985;7.3
DLBWB;1986;7.7
DLBWB;1987;7.5
DLBWB;1988;8.7
DLBWB;1989;8.7
DLBWB;1990;8.7
DLBWB;1991;7.9
DLBWB;1992;8.8
DLBWB;1993;8.1
DLBWB;1994;9.2
DLBWB;1995;8.2
DLBWB;1996;6.8
DLBWB;1997;8.1
DLBWB;1998;8.2
DLBWB;1999;8.5
DLBWB;2000;9.0
