Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94918

Filename                                Filetype  Station                              Parameter                                                   Period
order_94918_BUF_rzz150yx_2_legend.txt   Legend    Buffalora                            Precipitation; maximum ten minute total of the year         2003-2005
order_94918_BUF_rzz150yx_3_data.txt     Data      Buffalora                            Precipitation; maximum ten minute total of the year         2006-2009
order_94918_BUF_rzz150yx_3_legend.txt   Legend    Buffalora                            Precipitation; maximum ten minute total of the year         2006-2009
order_94918_BUF_rzz150yx_4_data.txt     Data      Buffalora                            Precipitation; maximum ten minute total of the year         2010-2016
order_94918_BUF_rzz150yx_4_legend.txt   Legend    Buffalora                            Precipitation; maximum ten minute total of the year         2010-2016
order_94918_BUF_rzz150yx_5_data.txt     Data      Buffalora                            Precipitation; maximum ten minute total of the year         2017-2020
order_94918_BUF_rzz150yx_5_legend.txt   Legend    Buffalora                            Precipitation; maximum ten minute total of the year         2017-2020
order_94918_URBUE_rzz150yx_1_data.txt   Data      Bürglen / Selez                      Precipitation; maximum ten minute total of the year         2017-2020
order_94918_URBUE_rzz150yx_1_legend.txt Legend    Bürglen / Selez                      Precipitation; maximum ten minute total of the year         2017-2020
order_94918_WSLCLB_rzz150yx_1_data.txt  Data      Celerina Bestand                     Precipitation; maximum ten minute total of the year         2017-2019
order_94918_WSLCLB_rzz150yx_1_legend.txt Legend    Celerina Bestand                     Precipitation; maximum ten minute total of the year         2017-2019
order_94918_WSLCLF_rzz150yx_1_data.txt  Data      Celerina Freiland                    Precipitation; maximum ten minute total of the year         2017-2018
order_94918_WSLCLF_rzz150yx_1_legend.txt Legend    Celerina Freiland                    Precipitation; maximum ten minute total of the year         2017-2018
order_94918_CHA_rzz150yx_1_data.txt     Data      Chasseral                            Precipitation; maximum ten minute total of the year         1980-2014
order_94918_CHA_rzz150yx_1_legend.txt   Legend    Chasseral                            Precipitation; maximum ten minute total of the year         1980-2014
order_94918_CHA_rzz150yx_2_data.txt     Data      Chasseral                            Precipitation; maximum ten minute total of the year         2015-2020
order_94918_CHA_rzz150yx_2_legend.txt   Legend    Chasseral                            Precipitation; maximum ten minute total of the year         2015-2020
order_94918_CIM_rzz150yx_1_data.txt     Data      Cimetta                              Precipitation; maximum ten minute total of the year         1981-2011
order_94918_CIM_rzz150yx_1_legend.txt   Legend    Cimetta                              Precipitation; maximum ten minute total of the year         1981-2011
order_94918_CIM_rzz150yx_2_data.txt     Data      Cimetta                              Precipitation; maximum ten minute total of the year         2012-2020
order_94918_CIM_rzz150yx_2_legend.txt   Legend    Cimetta                              Precipitation; maximum ten minute total of the year         2012-2020
order_94918_VSCLU_rzz150yx_1_data.txt   Data      Clusanfe                             Precipitation; maximum ten minute total of the year         2011-2015
order_94918_VSCLU_rzz150yx_1_legend.txt Legend    Clusanfe                             Precipitation; maximum ten minute total of the year         2011-2015
order_94918_VSCLU_rzz150yx_2_data.txt   Data      Clusanfe                             Precipitation; maximum ten minute total of the year         2016-2020
order_94918_VSCLU_rzz150yx_2_legend.txt Legend    Clusanfe                             Precipitation; maximum ten minute total of the year         2016-2020
order_94918_GSB_rzz150yx_1_data.txt     Data      Col du Grand St-Bernard              Precipitation; maximum ten minute total of the year         1981-2010
order_94918_GSB_rzz150yx_1_legend.txt   Legend    Col du Grand St-Bernard              Precipitation; maximum ten minute total of the year         1981-2010
order_94918_GSB_rzz150yx_2_data.txt     Data      Col du Grand St-Bernard              Precipitation; maximum ten minute total of the year         2011-2013
order_94918_GSB_rzz150yx_2_legend.txt   Legend    Col du Grand St-Bernard              Precipitation; maximum ten minute total of the year         2011-2013
order_94918_GSB_rzz150yx_3_data.txt     Data      Col du Grand St-Bernard              Precipitation; maximum ten minute total of the year         2014-2017
order_94918_GSB_rzz150yx_3_legend.txt   Legend    Col du Grand St-Bernard              Precipitation; maximum ten minute total of the year         2014-2017
order_94918_GSB_rzz150yx_4_data.txt     Data      Col du Grand St-Bernard              Precipitation; maximum ten minute total of the year         2019-2020
order_94918_GSB_rzz150yx_4_legend.txt   Legend    Col du Grand St-Bernard              Precipitation; maximum ten minute total of the year         2019-2020
order_94918_DAV_rzz150yx_1_data.txt     Data      Davos                                Precipitation; maximum ten minute total of the year         1980-2020
order_94918_DAV_rzz150yx_1_legend.txt   Legend    Davos                                Precipitation; maximum ten minute total of the year         1980-2020
order_94918_NABDAV_rzz150yx_1_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum ten minute total of the year         1995-2020
order_94918_NABDAV_rzz150yx_1_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum ten minute total of the year         1995-2020
order_94918_IYDEO_rzz150yx_1_data.txt   Data      Deutschnofen / Obereggen             Precipitation; maximum ten minute total of the year         2011-2018
order_94918_IYDEO_rzz150yx_1_legend.txt Legend    Deutschnofen / Obereggen             Precipitation; maximum ten minute total of the year         2011-2018
order_94918_VSEMO_rzz150yx_1_data.txt   Data      Emosson                              Precipitation; maximum ten minute total of the year         2011-2020
