 

stn;time;rzz150yx
VAD;1981;8.1
VAD;1982;11.4
VAD;1983;9.0
VAD;1984;4.8
VAD;1985;4.6
VAD;1986;9.8
VAD;1987;6.8
VAD;1988;8.2
VAD;1989;12.1
VAD;1990;3.7
VAD;1991;6.3
VAD;1992;15.1
VAD;1993;8.4
VAD;1994;14.0
VAD;1995;5.5
VAD;1996;4.9
VAD;1997;6.0
VAD;1998;6.7
VAD;1999;6.4
VAD;2000;9.3
VAD;2001;3.7
VAD;2002;9.2
VAD;2003;14.4
VAD;2004;6.7
VAD;2005;4.3
VAD;2006;20.2
VAD;2007;6.5
VAD;2008;6.2
VAD;2009;5.4
VAD;2010;15.2
VAD;2011;9.9
VAD;2012;8.3
VAD;2013;9.2
VAD;2014;11.5
VAD;2015;13.2
VAD;2016;6.9
VAD;2017;10.0
VAD;2018;12.5
VAD;2019;15.1
VAD;2020;10.3
