Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95486

Filename                                Filetype  Station                              Parameter                                                   Period
order_95486_BOS_rre003mx_1_data.txt     Data      Bosco/Gurin                          Precipitation; maximum 3-day total of the month             195812-202105
order_95486_BOS_rre003mx_1_legend.txt   Legend    Bosco/Gurin                          Precipitation; maximum 3-day total of the month             195812-202105
order_95486_BSP_rre003mx_1_data.txt     Data      Bourg-St-Pierre                      Precipitation; maximum 3-day total of the month             190001-201412
order_95486_BSP_rre003mx_1_legend.txt   Legend    Bourg-St-Pierre                      Precipitation; maximum 3-day total of the month             190001-201412
order_95486_BSP_rre003mx_2_data.txt     Data      Bourg-St-Pierre                      Precipitation; maximum 3-day total of the month             201502-202105
order_95486_BSP_rre003mx_2_legend.txt   Legend    Bourg-St-Pierre                      Precipitation; maximum 3-day total of the month             201502-202105
order_95486_VSBSP_rre003mx_1_data.txt   Data      Bourg-St-Pierre                      Precipitation; maximum 3-day total of the month             201311-202105
order_95486_VSBSP_rre003mx_1_legend.txt Legend    Bourg-St-Pierre                      Precipitation; maximum 3-day total of the month             201311-202105
order_95486_URBUE_rre003mx_1_data.txt   Data      Bürglen / Selez                      Precipitation; maximum 3-day total of the month             201712-202103
order_95486_URBUE_rre003mx_1_legend.txt Legend    Bürglen / Selez                      Precipitation; maximum 3-day total of the month             201712-202103
order_95486_URBUE_rre003mx_2_data.txt   Data      Bürglen / Selez                      Precipitation; maximum 3-day total of the month             202104-202105
order_95486_URBUE_rre003mx_2_legend.txt Legend    Bürglen / Selez                      Precipitation; maximum 3-day total of the month             202104-202105
order_95486_CAV_rre003mx_1_data.txt     Data      Cavaglia                             Precipitation; maximum 3-day total of the month             196012-202105
order_95486_CAV_rre003mx_1_legend.txt   Legend    Cavaglia                             Precipitation; maximum 3-day total of the month             196012-202105
order_95486_WSLCLB_rre003mx_1_data.txt  Data      Celerina Bestand                     Precipitation; maximum 3-day total of the month             201712-201912
order_95486_WSLCLB_rre003mx_1_legend.txt Legend    Celerina Bestand                     Precipitation; maximum 3-day total of the month             201712-201912
order_95486_WSLCLB_rre003mx_2_data.txt  Data      Celerina Bestand                     Precipitation; maximum 3-day total of the month             202003-202004
order_95486_WSLCLB_rre003mx_2_legend.txt Legend    Celerina Bestand                     Precipitation; maximum 3-day total of the month             202003-202004
order_95486_WSLCLB_rre003mx_3_data.txt  Data      Celerina Bestand                     Precipitation; maximum 3-day total of the month             202006-202011
order_95486_WSLCLB_rre003mx_3_legend.txt Legend    Celerina Bestand                     Precipitation; maximum 3-day total of the month             202006-202011
order_95486_WSLCLB_rre003mx_4_data.txt  Data      Celerina Bestand                     Precipitation; maximum 3-day total of the month             202101-202105
order_95486_WSLCLB_rre003mx_4_legend.txt Legend    Celerina Bestand                     Precipitation; maximum 3-day total of the month             202101-202105
order_95486_WSLCLF_rre003mx_1_data.txt  Data      Celerina Freiland                    Precipitation; maximum 3-day total of the month             201712-201908
order_95486_WSLCLF_rre003mx_1_legend.txt Legend    Celerina Freiland                    Precipitation; maximum 3-day total of the month             201712-201908
order_95486_WSLCLF_rre003mx_2_data.txt  Data      Celerina Freiland                    Precipitation; maximum 3-day total of the month             202002-202010
order_95486_WSLCLF_rre003mx_2_legend.txt Legend    Celerina Freiland                    Precipitation; maximum 3-day total of the month             202002-202010
order_95486_WSLCLF_rre003mx_3_data.txt  Data      Celerina Freiland                    Precipitation; maximum 3-day total of the month             202011-202105
order_95486_WSLCLF_rre003mx_3_legend.txt Legend    Celerina Freiland                    Precipitation; maximum 3-day total of the month             202011-202105
order_95486_CHA_rre003mx_1_data.txt     Data      Chasseral                            Precipitation; maximum 3-day total of the month             198012-202105
order_95486_CHA_rre003mx_1_legend.txt   Legend    Chasseral                            Precipitation; maximum 3-day total of the month             198012-202105
order_95486_CHS_rre003mx_1_data.txt     Data      Chasseron                            Precipitation; maximum 3-day total of the month             195812-196709
order_95486_CHS_rre003mx_1_legend.txt   Legend    Chasseron                            Precipitation; maximum 3-day total of the month             195812-196709
order_95486_WSLCIF_rre003mx_1_data.txt  Data      Chironico Freiland                   Precipitation; maximum 3-day total of the month             201712-201908
order_95486_WSLCIF_rre003mx_1_legend.txt Legend    Chironico Freiland                   Precipitation; maximum 3-day total of the month             201712-201908
order_95486_WSLCIF_rre003mx_2_data.txt  Data      Chironico Freiland                   Precipitation; maximum 3-day total of the month             202002-202102
order_95486_WSLCIF_rre003mx_2_legend.txt Legend    Chironico Freiland                   Precipitation; maximum 3-day total of the month             202002-202102
order_95486_CIM_rre003mx_1_data.txt     Data      Cimetta                              Precipitation; maximum 3-day total of the month             198112-201204
order_95486_CIM_rre003mx_1_legend.txt   Legend    Cimetta                              Precipitation; maximum 3-day total of the month             198112-201204
order_95486_CIM_rre003mx_2_data.txt     Data      Cimetta                              Precipitation; maximum 3-day total of the month             201205-202105
order_95486_CIM_rre003mx_2_legend.txt   Legend    Cimetta                              Precipitation; maximum 3-day total of the month             201205-202105
order_95486_VSCLU_rre003mx_1_data.txt   Data      Clusanfe                             Precipitation; maximum 3-day total of the month             201111-201204
order_95486_VSCLU_rre003mx_1_legend.txt Legend    Clusanfe                             Precipitation; maximum 3-day total of the month             201111-201204
order_95486_VSCLU_rre003mx_2_data.txt   Data      Clusanfe                             Precipitation; maximum 3-day total of the month             201205-201512
order_95486_VSCLU_rre003mx_2_legend.txt Legend    Clusanfe                             Precipitation; maximum 3-day total of the month             201205-201512
order_95486_VSCLU_rre003mx_3_data.txt   Data      Clusanfe                             Precipitation; maximum 3-day total of the month             201602-201605
order_95486_VSCLU_rre003mx_3_legend.txt Legend    Clusanfe                             Precipitation; maximum 3-day total of the month             201602-201605
order_95486_VSCLU_rre003mx_4_data.txt   Data      Clusanfe                             Precipitation; maximum 3-day total of the month             201606-202007
order_95486_VSCLU_rre003mx_4_legend.txt Legend    Clusanfe                             Precipitation; maximum 3-day total of the month             201606-202007
order_95486_VSCLU_rre003mx_5_data.txt   Data      Clusanfe                             Precipitation; maximum 3-day total of the month             202008-202105
order_95486_VSCLU_rre003mx_5_legend.txt Legend    Clusanfe                             Precipitation; maximum 3-day total of the month             202008-202105
order_95486_DAV_rre003mx_1_data.txt     Data      Davos                                Precipitation; maximum 3-day total of the month             186709-187111
order_95486_DAV_rre003mx_1_legend.txt   Legend    Davos                                Precipitation; maximum 3-day total of the month             186709-187111
order_95486_DAV_rre003mx_2_data.txt     Data      Davos                                Precipitation; maximum 3-day total of the month             187306-187502
order_95486_DAV_rre003mx_2_legend.txt   Legend    Davos                                Precipitation; maximum 3-day total of the month             187306-187502
order_95486_DAV_rre003mx_3_data.txt     Data      Davos                                Precipitation; maximum 3-day total of the month             187512-202105
order_95486_DAV_rre003mx_3_legend.txt   Legend    Davos                                Precipitation; maximum 3-day total of the month             187512-202105
order_95486_NABDAV_rre003mx_1_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 3-day total of the month             199106-199107
order_95486_NABDAV_rre003mx_1_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 3-day total of the month             199106-199107
order_95486_NABDAV_rre003mx_2_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 3-day total of the month             199108-199109
order_95486_NABDAV_rre003mx_2_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 3-day total of the month             199108-199109
order_95486_NABDAV_rre003mx_3_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 3-day total of the month             199110-199112
order_95486_NABDAV_rre003mx_3_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 3-day total of the month             199110-199112
order_95486_NABDAV_rre003mx_4_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 3-day total of the month             199512-200706
order_95486_NABDAV_rre003mx_4_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 3-day total of the month             199512-200706
order_95486_NABDAV_rre003mx_5_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum 3-day total of the month             200707-202105
order_95486_NABDAV_rre003mx_5_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum 3-day total of the month             200707-202105
order_95486_IYDEU_rre003mx_1_data.txt   Data      Deutschnofen                         Precipitation; maximum 3-day total of the month             200012-202105
order_95486_IYDEU_rre003mx_1_legend.txt Legend    Deutschnofen                         Precipitation; maximum 3-day total of the month             200012-202105
order_95486_DMA_rre003mx_1_data.txt     Data      Dischma                              Precipitation; maximum 3-day total of the month             197212-202105
order_95486_DMA_rre003mx_1_legend.txt   Legend    Dischma                              Precipitation; maximum 3-day total of the month             197212-202105
order_95486_VSEMO_rre003mx_1_data.txt   Data      Emosson                              Precipitation; maximum 3-day total of the month             201111-202005
order_95486_VSEMO_rre003mx_1_legend.txt Legend    Emosson                              Precipitation; maximum 3-day total of the month             201111-202005
order_95486_VSEMO_rre003mx_2_data.txt   Data      Emosson                              Precipitation; maximum 3-day total of the month             202006-202103
order_95486_VSEMO_rre003mx_2_legend.txt Legend    Emosson                              Precipitation; maximum 3-day total of the month             202006-202103
order_95486_VSEMO_rre003mx_3_data.txt   Data      Emosson                              Precipitation; maximum 3-day total of the month             202104-202105
order_95486_VSEMO_rre003mx_3_legend.txt Legend    Emosson                              Precipitation; maximum 3-day total of the month             202104-202105
order_95486_ELO_rre003mx_1_data.txt     Data      Engeloch Simplon                     Precipitation; maximum 3-day total of the month             197212-198211
order_95486_ELO_rre003mx_1_legend.txt   Legend    Engeloch Simplon                     Precipitation; maximum 3-day total of the month             197212-198211
order_95486_ESA_rre003mx_1_data.txt     Data      Engstligenalp                        Precipitation; maximum 3-day total of the month             196012-197812
order_95486_ESA_rre003mx_1_legend.txt   Legend    Engstligenalp                        Precipitation; maximum 3-day total of the month             196012-197812
order_95486_EVO_rre003mx_1_data.txt     Data      Evolène / Villa                      Precipitation; maximum 3-day total of the month             198609-201606
order_95486_EVO_rre003mx_1_legend.txt   Legend    Evolène / Villa                      Precipitation; maximum 3-day total of the month             198609-201606
order_95486_EVO_rre003mx_2_data.txt     Data      Evolène / Villa                      Precipitation; maximum 3-day total of the month             201607-202105
order_95486_EVO_rre003mx_2_legend.txt   Legend    Evolène / Villa                      Precipitation; maximum 3-day total of the month             201607-202105
order_95486_DLFEB_rre003mx_1_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum 3-day total of the month             194012-194412
order_95486_DLFEB_rre003mx_1_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum 3-day total of the month             194012-194412
order_95486_DLFEB_rre003mx_2_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum 3-day total of the month             194809-194810
order_95486_DLFEB_rre003mx_2_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum 3-day total of the month             194809-194810
order_95486_DLFEB_rre003mx_3_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum 3-day total of the month             201605-201901
order_95486_DLFEB_rre003mx_3_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum 3-day total of the month             201605-201901
order_95486_DLFEB_rre003mx_4_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum 3-day total of the month             201904-202105
order_95486_DLFEB_rre003mx_4_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum 3-day total of the month             201904-202105
order_95486_FIO_rre003mx_1_data.txt     Data      Fionnay                              Precipitation; maximum 3-day total of the month             199603-202105
order_95486_FIO_rre003mx_1_legend.txt   Legend    Fionnay                              Precipitation; maximum 3-day total of the month             199603-202105
order_95486_GEI_rre003mx_1_data.txt     Data      Geils                                Precipitation; maximum 3-day total of the month             197212-199612
order_95486_GEI_rre003mx_1_legend.txt   Legend    Geils                                Precipitation; maximum 3-day total of the month             197212-199612
order_95486_GRI_rre003mx_1_data.txt     Data      Grimentz                             Precipitation; maximum 3-day total of the month             190607-192808
order_95486_GRI_rre003mx_1_legend.txt   Legend    Grimentz                             Precipitation; maximum 3-day total of the month             190607-192808
order_95486_GRI_rre003mx_2_data.txt     Data      Grimentz                             Precipitation; maximum 3-day total of the month             192811-195210
order_95486_GRI_rre003mx_2_legend.txt   Legend    Grimentz                             Precipitation; maximum 3-day total of the month             192811-195210
order_95486_GRI_rre003mx_3_data.txt     Data      Grimentz                             Precipitation; maximum 3-day total of the month             195212-195304
order_95486_GRI_rre003mx_3_legend.txt   Legend    Grimentz                             Precipitation; maximum 3-day total of the month             195212-195304
order_95486_GRI_rre003mx_4_data.txt     Data      Grimentz                             Precipitation; maximum 3-day total of the month             195305-195510
order_95486_GRI_rre003mx_4_legend.txt   Legend    Grimentz                             Precipitation; maximum 3-day total of the month             195305-195510
order_95486_GRI_rre003mx_5_data.txt     Data      Grimentz                             Precipitation; maximum 3-day total of the month             195511-201705
order_95486_GRI_rre003mx_5_legend.txt   Legend    Grimentz                             Precipitation; maximum 3-day total of the month             195511-201705
order_95486_GRI_rre003mx_6_data.txt     Data      Grimentz                             Precipitation; maximum 3-day total of the month             201706-201908
order_95486_GRI_rre003mx_6_legend.txt   Legend    Grimentz                             Precipitation; maximum 3-day total of the month             201706-201908
order_95486_GRI_rre003mx_7_data.txt     Data      Grimentz                             Precipitation; maximum 3-day total of the month             201909-202105
order_95486_GRI_rre003mx_7_legend.txt   Legend    Grimentz                             Precipitation; maximum 3-day total of the month             201909-202105
order_95486_GRC_rre003mx_1_data.txt     Data      Grächen                              Precipitation; maximum 3-day total of the month             186312-188612
order_95486_GRC_rre003mx_1_legend.txt   Legend    Grächen                              Precipitation; maximum 3-day total of the month             186312-188612
order_95486_GRC_rre003mx_2_data.txt     Data      Grächen                              Precipitation; maximum 3-day total of the month             189104-202105
order_95486_GRC_rre003mx_2_legend.txt   Legend    Grächen                              Precipitation; maximum 3-day total of the month             189104-202105
order_95486_GOA_rre003mx_1_data.txt     Data      Göscheneralp                         Precipitation; maximum 3-day total of the month             196812-201211
order_95486_GOA_rre003mx_1_legend.txt   Legend    Göscheneralp                         Precipitation; maximum 3-day total of the month             196812-201211
order_95486_GOA_rre003mx_2_data.txt     Data      Göscheneralp                         Precipitation; maximum 3-day total of the month             201212-201309
order_95486_GOA_rre003mx_2_legend.txt   Legend    Göscheneralp                         Precipitation; maximum 3-day total of the month             201212-201309
order_95486_GOA_rre003mx_3_data.txt     Data      Göscheneralp                         Precipitation; maximum 3-day total of the month             201310-202105
order_95486_GOA_rre003mx_3_legend.txt   Legend    Göscheneralp                         Precipitation; maximum 3-day total of the month             201310-202105
order_95486_IYHIN_rre003mx_1_data.txt   Data      Hintermartell                        Precipitation; maximum 3-day total of the month             200907-201707
order_95486_IYHIN_rre003mx_1_legend.txt Legend    Hintermartell                        Precipitation; maximum 3-day total of the month             200907-201707
order_95486_IYHIN_rre003mx_2_data.txt   Data      Hintermartell                        Precipitation; maximum 3-day total of the month             201708-201910
order_95486_IYHIN_rre003mx_2_legend.txt Legend    Hintermartell                        Precipitation; maximum 3-day total of the month             201708-201910
order_95486_IYHIN_rre003mx_3_data.txt   Data      Hintermartell                        Precipitation; maximum 3-day total of the month             201911-202005
order_95486_IYHIN_rre003mx_3_legend.txt Legend    Hintermartell                        Precipitation; maximum 3-day total of the month             201911-202005
order_95486_IYHIN_rre003mx_4_data.txt   Data      Hintermartell                        Precipitation; maximum 3-day total of the month             202006-202104
order_95486_IYHIN_rre003mx_4_legend.txt Legend    Hintermartell                        Precipitation; maximum 3-day total of the month             202006-202104
order_95486_HIR_rre003mx_1_data.txt     Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             190012-193305
order_95486_HIR_rre003mx_1_legend.txt   Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             190012-193305
order_95486_HIR_rre003mx_2_data.txt     Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             193306-200811
order_95486_HIR_rre003mx_2_legend.txt   Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             193306-200811
order_95486_HIR_rre003mx_3_data.txt     Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             200902-201002
order_95486_HIR_rre003mx_3_legend.txt   Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             200902-201002
order_95486_HIR_rre003mx_4_data.txt     Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201004-201106
order_95486_HIR_rre003mx_4_legend.txt   Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201004-201106
order_95486_MMHIR_rre003mx_1_data.txt   Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201211-201309
order_95486_MMHIR_rre003mx_1_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201211-201309
order_95486_MMHIR_rre003mx_2_data.txt   Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201310-201401
order_95486_MMHIR_rre003mx_2_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201310-201401
order_95486_MMHIR_rre003mx_3_data.txt   Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201403-201511
order_95486_MMHIR_rre003mx_3_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201403-201511
order_95486_MMHIR_rre003mx_4_data.txt   Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201602-201608
order_95486_MMHIR_rre003mx_4_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201602-201608
order_95486_MMHIR_rre003mx_5_data.txt   Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201610-201611
order_95486_MMHIR_rre003mx_5_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201610-201611
order_95486_MMHIR_rre003mx_6_data.txt   Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201612-201704
order_95486_MMHIR_rre003mx_6_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201612-201704
order_95486_MMHIR_rre003mx_7_data.txt   Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201705-201805
order_95486_MMHIR_rre003mx_7_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201705-201805
order_95486_MMHIR_rre003mx_8_data.txt   Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201806-201810
order_95486_MMHIR_rre003mx_8_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201806-201810
order_95486_MMHIR_rre003mx_9_data.txt   Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201811-201901
order_95486_MMHIR_rre003mx_9_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201811-201901
order_95486_MMHIR_rre003mx_10_data.txt  Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201903-201905
order_95486_MMHIR_rre003mx_10_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201903-201905
order_95486_MMHIR_rre003mx_11_data.txt  Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201906-201907
order_95486_MMHIR_rre003mx_11_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201906-201907
order_95486_MMHIR_rre003mx_12_data.txt  Data      Hinterrhein                          Precipitation; maximum 3-day total of the month             201909-202105
order_95486_MMHIR_rre003mx_12_legend.txt Legend    Hinterrhein                          Precipitation; maximum 3-day total of the month             201909-202105
order_95486_INF_rre003mx_1_data.txt     Data      Innerferrera                         Precipitation; maximum 3-day total of the month             196012-199310
order_95486_INF_rre003mx_1_legend.txt   Legend    Innerferrera                         Precipitation; maximum 3-day total of the month             196012-199310
order_95486_INF_rre003mx_2_data.txt     Data      Innerferrera                         Precipitation; maximum 3-day total of the month             199312-201907
order_95486_INF_rre003mx_2_legend.txt   Legend    Innerferrera                         Precipitation; maximum 3-day total of the month             199312-201907
order_95486_INF_rre003mx_3_data.txt     Data      Innerferrera                         Precipitation; maximum 3-day total of the month             201908-202105
order_95486_INF_rre003mx_3_legend.txt   Legend    Innerferrera                         Precipitation; maximum 3-day total of the month             201908-202105
order_95486_VSJEI_rre003mx_1_data.txt   Data      Jeizinen                             Precipitation; maximum 3-day total of the month             201010-201409
order_95486_VSJEI_rre003mx_1_legend.txt Legend    Jeizinen                             Precipitation; maximum 3-day total of the month             201010-201409
order_95486_VSJEI_rre003mx_2_data.txt   Data      Jeizinen                             Precipitation; maximum 3-day total of the month             201410-202105
order_95486_VSJEI_rre003mx_2_legend.txt Legend    Jeizinen                             Precipitation; maximum 3-day total of the month             201410-202105
order_95486_KRO_rre003mx_1_data.txt     Data      Kronberg                             Precipitation; maximum 3-day total of the month             197212-202105
order_95486_KRO_rre003mx_1_legend.txt   Legend    Kronberg                             Precipitation; maximum 3-day total of the month             197212-202105
order_95486_DOL_rre003mx_1_data.txt     Data      La Dôle                              Precipitation; maximum 3-day total of the month             197212-201011
order_95486_DOL_rre003mx_1_legend.txt   Legend    La Dôle                              Precipitation; maximum 3-day total of the month             197212-201011
order_95486_DOL_rre003mx_2_data.txt     Data      La Dôle                              Precipitation; maximum 3-day total of the month             201012-202105
order_95486_DOL_rre003mx_2_legend.txt   Legend    La Dôle                              Precipitation; maximum 3-day total of the month             201012-202105
order_95486_VSFLY_rre003mx_1_data.txt   Data      La Fouly                             Precipitation; maximum 3-day total of the month             201111-201201
order_95486_VSFLY_rre003mx_1_legend.txt Legend    La Fouly                             Precipitation; maximum 3-day total of the month             201111-201201
order_95486_VSFLY_rre003mx_2_data.txt   Data      La Fouly                             Precipitation; maximum 3-day total of the month             201203-202105
order_95486_VSFLY_rre003mx_2_legend.txt Legend    La Fouly                             Precipitation; maximum 3-day total of the month             201203-202105
order_95486_IYLAD_rre003mx_1_data.txt   Data      Ladurns                              Precipitation; maximum 3-day total of the month             200611-201611
order_95486_IYLAD_rre003mx_1_legend.txt Legend    Ladurns                              Precipitation; maximum 3-day total of the month             200611-201611
order_95486_IYLAD_rre003mx_2_data.txt   Data      Ladurns                              Precipitation; maximum 3-day total of the month             201612-201707
order_95486_IYLAD_rre003mx_2_legend.txt Legend    Ladurns                              Precipitation; maximum 3-day total of the month             201612-201707
order_95486_IYLAD_rre003mx_3_data.txt   Data      Ladurns                              Precipitation; maximum 3-day total of the month             201709-201901
order_95486_IYLAD_rre003mx_3_legend.txt Legend    Ladurns                              Precipitation; maximum 3-day total of the month             201709-201901
