 

stn;time;tre200y0
IYSAR;1977;8.0
IYSAR;1978;7.7
IYSAR;1979;7.8
IYSAR;1980;6.5
IYSAR;1981;7.5
IYSAR;1982;7.6
IYSAR;1983;6.9
IYSAR;1984;5.6
IYSAR;1985;6.2
IYSAR;1986;6.4
IYSAR;1987;6.9
IYSAR;1988;7.1
IYSAR;1989;7.1
IYSAR;1990;7.1
IYSAR;1991;5.9
IYSAR;1992;6.7
IYSAR;1993;6.7
IYSAR;1994;7.6
IYSAR;1995;6.9
IYSAR;1996;6.6
IYSAR;1997;7.4
IYSAR;1998;7.6
IYSAR;1999;7.7
IYSAR;2000;8.4
IYSAR;2001;8.0
IYSAR;2002;8.4
IYSAR;2003;8.4
IYSAR;2004;8.0
IYSAR;2005;7.2
IYSAR;2006;7.8
IYSAR;2007;8.4
IYSAR;2008;8.0
IYSAR;2009;8.2
IYSAR;2010;7.5
IYSAR;2011;8.9
IYSAR;2012;8.6
IYSAR;2013;8.5
IYSAR;2014;9.7
IYSAR;2015;9.1
IYSAR;2016;8.8
IYSAR;2017;8.6
IYSAR;2018;9.1
IYSAR;2019;8.9
IYSAR;2020;8.7
