 

stn;time;rzz150yx
GVE;1981;7.0
GVE;1982;5.4
GVE;1983;12.3
GVE;1984;8.6
GVE;1985;6.0
GVE;1986;7.4
GVE;1987;10.8
GVE;1988;6.1
GVE;1989;4.3
GVE;1990;5.9
GVE;1991;9.3
GVE;1992;7.8
GVE;1993;7.2
GVE;1994;7.1
GVE;1995;7.1
GVE;1996;12.0
GVE;1997;10.9
GVE;1998;21.9
GVE;1999;6.3
GVE;2000;7.5
GVE;2001;7.4
GVE;2002;11.2
GVE;2003;14.3
GVE;2004;10.1
GVE;2005;11.5
GVE;2006;8.5
GVE;2007;16.7
GVE;2008;8.0
GVE;2009;6.3
GVE;2010;5.5
GVE;2011;3.8
GVE;2012;7.5
GVE;2013;18.5
GVE;2014;9.2
GVE;2015;10.5
GVE;2016;12.0
GVE;2017;6.5
GVE;2018;11.8
GVE;2019;8.9
GVE;2020;10.9
