 

stn;time;rhh150yx
GLA;1981;19.6
GLA;1982;10.6
GLA;1983;15.7
GLA;1984;15.6
GLA;1985;22.7
GLA;1986;15.0
GLA;1987;24.8
GLA;1988;35.7
GLA;1989;13.0
GLA;1990;12.5
GLA;1991;20.3
GLA;1992;19.7
GLA;1993;15.0
GLA;1994;16.5
GLA;1995;43.4
GLA;1996;15.1
GLA;1997;10.9
GLA;1998;27.3
GLA;1999;15.8
GLA;2000;11.6
GLA;2001;12.7
GLA;2002;9.2
GLA;2003;19.6
GLA;2004;15.6
GLA;2005;23.8
GLA;2006;15.2
GLA;2007;12.7
GLA;2008;13.9
GLA;2009;17.0
GLA;2010;18.4
GLA;2011;26.3
GLA;2012;18.6
GLA;2013;14.6
GLA;2014;17.6
GLA;2015;21.2
GLA;2016;9.4
GLA;2017;18.9
GLA;2018;26.2
GLA;2019;20.9
GLA;2020;22.2
