 

stn;time;rti150yx
SES;1961;19611211
SES;1962;19620126
SES;1963;19630817
SES;1964;19641117
SES;1965;19650610
SES;1966;19660705
SES;1967;19670220
SES;1968;19680126
SES;1969;19690415
SES;1970;19700202
SES;1971;19711121
SES;1972;19721022
SES;1973;19731115
SES;1974;19741128
SES;1975;19750811
SES;1976;19760928
SES;1977;19770731
SES;1978;19780807
SES;1979;19791106
SES;1980;19800708
SES;1981;19810719
SES;1982;19820926
SES;1983;19830910
SES;1984;19840905
SES;1985;19850825
SES;1986;19860706
SES;1987;19870608
SES;1988;19881204
SES;1989;19890801
SES;1990;19900214
SES;1991;19911221
SES;1992;19920204
