 

stn;time;rzz150mx
AIE;201602;1.2
AIE;201603;1.2
AIE;201604;4.0
AIE;201605;3.3
AIE;201606;5.0
AIE;201607;5.2
AIE;201608;9.2
AIE;201609;1.4
AIE;201610;2.5
AIE;201611;1.4
AIE;201612;0.3
AIE;201701;1.8
AIE;201702;1.7
AIE;201703;1.6
AIE;201704;2.0
AIE;201705;5.9
AIE;201706;4.8
AIE;201707;8.8
AIE;201708;10.5
AIE;201709;2.0
AIE;201710;3.5
AIE;201711;3.7
AIE;201712;1.6
AIE;201801;1.8
AIE;201802;0.9
AIE;201803;1.3
AIE;201804;1.1
AIE;201805;4.3
AIE;201806;9.8
AIE;201807;3.5
AIE;201808;9.5
AIE;201809;4.4
AIE;201810;0.9
AIE;201811;0.6
AIE;201812;3.1
AIE;201901;0.7
AIE;201902;1.9
AIE;201903;1.4
AIE;201904;1.3
AIE;201905;7.4
AIE;201906;3.3
AIE;201907;10.0
AIE;201908;10.7
AIE;201909;4.3
AIE;201910;2.6
AIE;201911;2.6
AIE;201912;1.7
AIE;202001;1.6
AIE;202002;3.0
AIE;202003;2.3
AIE;202004;2.4
AIE;202005;5.1
AIE;202006;4.8
AIE;202007;5.2
AIE;202008;6.1
AIE;202009;4.7
AIE;202010;3.0
AIE;202011;0.9
AIE;202012;0.7
AIE;202101;1.2
AIE;202102;1.5
AIE;202103;1.3
