 

stn;time;rhh150yx
VAD;1981;14.1
VAD;1982;20.3
VAD;1983;12.4
VAD;1984;16.3
VAD;1985;9.1
VAD;1986;16.2
VAD;1987;10.1
VAD;1988;12.5
VAD;1989;16.9
VAD;1990;9.3
VAD;1991;12.7
VAD;1992;31.9
VAD;1993;9.5
VAD;1994;25.0
VAD;1995;19.1
VAD;1996;9.6
VAD;1997;10.7
VAD;1998;12.4
VAD;1999;8.9
VAD;2000;13.4
VAD;2001;8.5
VAD;2002;17.0
VAD;2003;38.6
VAD;2004;10.8
VAD;2005;13.4
VAD;2006;23.9
VAD;2007;13.3
VAD;2008;9.4
VAD;2009;8.9
VAD;2010;30.2
VAD;2011;29.5
VAD;2012;16.9
VAD;2013;19.7
VAD;2014;21.2
VAD;2015;33.6
VAD;2016;13.4
VAD;2017;10.3
VAD;2018;26.1
VAD;2019;23.6
VAD;2020;15.1
