 

stn;time;rre150yx
ZHMON;1980;37.0
ZHMON;1981;53.0
ZHMON;1982;42.0
ZHMON;1983;38.5
ZHMON;1984;84.5
ZHMON;1985;41.0
ZHMON;1986;34.0
ZHMON;1987;51.0
ZHMON;1988;46.0
ZHMON;1989;36.0
ZHMON;1990;62.5
ZHMON;1991;48.0
ZHMON;1992;40.5
ZHMON;1993;40.0
ZHMON;1994;35.5
ZHMON;1995;64.5
ZHMON;1996;50.5
ZHMON;1997;36.0
ZHMON;1998;41.5
ZHMON;1999;97.0
ZHMON;2000;79.4
ZHMON;2001;44.7
ZHMON;2002;56.1
ZHMON;2003;50.6
ZHMON;2004;51.6
ZHMON;2005;40.1
ZHMON;2006;50.2
ZHMON;2007;69.8
ZHMON;2008;39.5
ZHMON;2009;54.0
ZHMON;2010;58.4
ZHMON;2011;42.1
ZHMON;2012;45.8
ZHMON;2013;54.8
ZHMON;2014;51.4
ZHMON;2015;46.0
ZHMON;2016;42.1
ZHMON;2017;60.1
ZHMON;2018;35.2
ZHMON;2019;49.6
ZHMON;2020;44.3
