 

stn;time;rre150m0
IYNAT;200407;66.8
IYNAT;200408;55.6
IYNAT;200409;40.6
IYNAT;200410;80.8
IYNAT;200411;49.8
IYNAT;200412;35.8
IYNAT;200501;1.4
IYNAT;200502;2.8
IYNAT;200503;6.0
IYNAT;200504;37.4
IYNAT;200505;34.0
IYNAT;200506;27.2
IYNAT;200507;53.8
IYNAT;200508;100.6
IYNAT;200509;51.6
IYNAT;200510;81.4
IYNAT;200511;20.4
IYNAT;200512;12.2
IYNAT;200601;9.4
IYNAT;200602;21.0
IYNAT;200603;26.4
IYNAT;200604;25.0
IYNAT;200605;52.4
IYNAT;200606;46.6
IYNAT;200607;65.8
IYNAT;200608;79.4
IYNAT;200609;48.6
IYNAT;200610;41.2
IYNAT;200611;7.4
IYNAT;200612;23.0
IYNAT;200701;21.4
IYNAT;200702;14.6
IYNAT;200703;28.8
IYNAT;200704;18.8
IYNAT;200705;57.4
IYNAT;200706;56.4
IYNAT;200707;49.8
IYNAT;200708;90.4
IYNAT;200709;56.0
IYNAT;200710;7.6
IYNAT;200711;42.6
IYNAT;200712;6.2
IYNAT;200801;31.2
IYNAT;200802;4.8
IYNAT;200803;13.4
IYNAT;200804;55.8
IYNAT;200805;76.0
IYNAT;200806;92.2
