 

stn;time;rre150y0
DLMIT;1946;1315.9
DLMIT;1947;1077.0
DLMIT;1948;1247.6
DLMIT;1949;1198.6
DLMIT;1950;1194.7
DLMIT;1951;1135.7
DLMIT;1952;1481.7
DLMIT;1953;1073.5
DLMIT;1954;1623.4
DLMIT;1955;1586.5
DLMIT;1956;1485.0
DLMIT;1957;1285.8
DLMIT;1958;1507.8
DLMIT;1959;1303.0
DLMIT;1960;1412.5
DLMIT;1961;1189.7
DLMIT;1962;1272.4
DLMIT;1963;1191.1
DLMIT;1964;1505.5
DLMIT;1965;1611.9
DLMIT;1966;1881.4
DLMIT;1967;1442.7
DLMIT;1968;1445.1
DLMIT;1969;1284.0
DLMIT;1970;1839.8
DLMIT;1971;1182.4
DLMIT;1972;1242.1
DLMIT;1973;1591.0
DLMIT;1974;1878.1
DLMIT;1975;1361.3
DLMIT;1976;1366.6
DLMIT;1977;1435.8
DLMIT;1978;1351.5
DLMIT;1979;1692.5
DLMIT;1980;1246.6
DLMIT;1981;1729.4
DLMIT;1982;1310.4
DLMIT;1983;1557.2
DLMIT;1984;1248.2
DLMIT;1985;1195.0
DLMIT;1986;1382.1
DLMIT;1987;1386.8
DLMIT;1988;1575.6
DLMIT;1989;1307.7
DLMIT;1990;1420.6
DLMIT;1991;1342.1
DLMIT;1992;1257.0
DLMIT;1993;1411.7
DLMIT;1994;1370.2
DLMIT;1995;1607.7
DLMIT;1996;1458.0
DLMIT;1997;1249.0
DLMIT;1998;1394.4
DLMIT;1999;1706.1
DLMIT;2000;1691.2
DLMIT;2001;1658.9
DLMIT;2002;1443.5
DLMIT;2003;1298.7
DLMIT;2004;1271.3
DLMIT;2005;1507.0
DLMIT;2006;1270.9
DLMIT;2007;1347.0
DLMIT;2008;1276.9
DLMIT;2009;1351.2
DLMIT;2010;1309.0
DLMIT;2011;1302.2
DLMIT;2012;1695.1
DLMIT;2013;1542.8
DLMIT;2014;1593.4
DLMIT;2015;1317.6
DLMIT;2016;1313.1
DLMIT;2017;1478.3
