 

stn;time;hns000y0
OTL;1936;34
OTL;1937;23
OTL;1938;61
OTL;1939;49
OTL;1940;6
OTL;1941;61
OTL;1942;16
OTL;1943;15
OTL;1944;29
OTL;1945;84
OTL;1946;91
OTL;1947;122
OTL;1948;63
OTL;1949;23
OTL;1950;79
OTL;1951;113
OTL;1952;58
OTL;1953;15
OTL;1954;33
OTL;1955;74
OTL;1956;56
OTL;1957;43
OTL;1958;21
OTL;1959;25
OTL;1960;103
OTL;1961;85
OTL;1962;42
OTL;1963;21
OTL;1964;28
OTL;1965;37
OTL;1966;30
OTL;1967;42
OTL;1968;22
OTL;1969;114
OTL;1970;145
OTL;1971;27
OTL;1972;45
OTL;1973;28
OTL;1974;21
OTL;1975;43
OTL;1976;47
OTL;1977;152
OTL;1978;236
OTL;1979;49
OTL;1980;31
OTL;1981;90
OTL;1982;11
OTL;1983;85
OTL;1984;41
OTL;1985;165
OTL;1986;166
OTL;1987;64
OTL;1988;5
OTL;1989;1
OTL;1990;48
OTL;1991;25
OTL;1992;21
OTL;1993;21
OTL;1994;4
OTL;1995;31
OTL;1996;39
OTL;1997;24
OTL;1998;2
OTL;1999;16
OTL;2000;16
OTL;2001;49
OTL;2002;17
OTL;2003;51
OTL;2004;61
OTL;2005;52
OTL;2006;85
OTL;2007;2
OTL;2008;82
OTL;2009;72
OTL;2010;66
OTL;2011;0
OTL;2012;51
OTL;2013;33
OTL;2014;40
OTL;2015;49
OTL;2016;22
OTL;2017;34
OTL;2018;12
OTL;2019;18
OTL;2020;38
