 

stn;time;hns000y0
HAI;1964;153
HAI;1965;197
HAI;1966;196
HAI;1967;98
HAI;1968;202
HAI;1969;208
HAI;1970;239
HAI;1971;75
HAI;1972;79
HAI;1973;232
HAI;1974;131
HAI;1975;126
HAI;1976;152
HAI;1977;161
HAI;1978;186
HAI;1979;214
HAI;1980;158
HAI;1981;259
HAI;1982;111
HAI;1983;135
HAI;1984;149
HAI;1985;143
HAI;1986;188
HAI;1987;104
HAI;1988;116
HAI;1989;47
HAI;1990;104
HAI;1991;79
HAI;1992;65
HAI;1993;62
HAI;1994;59
HAI;1995;164
HAI;1996;134
HAI;1997;41
HAI;1998;85
HAI;1999;202
HAI;2000;40
HAI;2001;109
HAI;2002;17
HAI;2003;139
HAI;2004;134
HAI;2005;163
HAI;2006;133
HAI;2007;81
HAI;2008;135
HAI;2009;139
HAI;2010;161
HAI;2011;53
