 

stn;time;rre150yx
IYSMT;1989;52.6
IYSMT;1990;54.1
IYSMT;1991;29.5
IYSMT;1992;30.8
IYSMT;1993;65.2
IYSMT;1994;45.4
IYSMT;1995;29.0
IYSMT;1996;52.2
IYSMT;1997;31.8
IYSMT;1998;43.4
IYSMT;1999;39.4
IYSMT;2000;43.8
IYSMT;2001;45.0
IYSMT;2002;36.8
IYSMT;2003;34.2
IYSMT;2004;28.8
IYSMT;2005;35.8
IYSMT;2006;27.4
IYSMT;2007;36.2
IYSMT;2008;39.6
IYSMT;2009;40.4
IYSMT;2010;62.8
IYSMT;2011;45.4
IYSMT;2012;56.2
IYSMT;2013;39.3
IYSMT;2014;65.3
IYSMT;2015;36.3
IYSMT;2016;47.3
IYSMT;2017;50.4
IYSMT;2018;64.6
IYSMT;2019;63.8
