 

stn;time;rhs150d0
WIN;18640101;9.2
WIN;18640102;6.9
WIN;18640103;0.0
WIN;18640104;0.0
WIN;18640105;0.0
WIN;18640106;0.0
WIN;18640107;0.0
WIN;18640108;0.0
WIN;18640109;0.0
WIN;18640110;0.0
WIN;18640111;0.0
WIN;18640112;0.0
WIN;18640113;0.0
WIN;18640114;0.0
WIN;18640115;0.0
WIN;18640116;0.0
WIN;18640117;0.0
WIN;18640118;0.0
WIN;18640119;0.0
WIN;18640120;0.0
WIN;18640121;0.0
WIN;18640122;0.0
WIN;18640123;0.0
WIN;18640124;0.0
WIN;18640125;1.7
WIN;18640126;0.0
WIN;18640127;0.0
WIN;18640128;0.7
WIN;18640129;8.4
WIN;18640130;0.3
WIN;18640131;0.0
WIN;18640201;0.0
WIN;18640202;0.0
WIN;18640203;0.0
WIN;18640204;1.7
WIN;18640205;1.9
WIN;18640206;0.2
WIN;18640207;0.2
WIN;18640208;1.8
WIN;18640209;0.6
WIN;18640210;0.0
WIN;18640211;0.0
WIN;18640212;0.0
WIN;18640213;8.6
WIN;18640214;0.0
WIN;18640215;0.0
WIN;18640216;0.0
WIN;18640217;15.1
WIN;18640218;4.7
WIN;18640219;0.3
WIN;18640220;0.0
WIN;18640221;0.0
WIN;18640222;0.0
WIN;18640223;0.0
WIN;18640224;0.0
WIN;18640225;0.0
WIN;18640226;0.0
WIN;18640227;0.0
WIN;18640228;0.0
WIN;18640229;0.0
WIN;18640301;6.2
WIN;18640302;0.0
WIN;18640303;0.9
WIN;18640304;0.9
WIN;18640305;0.0
WIN;18640306;2.2
WIN;18640307;3.7
WIN;18640308;0.0
WIN;18640309;2.3
WIN;18640310;9.8
WIN;18640311;0.0
WIN;18640312;4.5
WIN;18640313;0.0
WIN;18640314;0.0
WIN;18640315;0.0
WIN;18640316;0.3
WIN;18640317;0.0
WIN;18640318;0.0
WIN;18640319;0.0
WIN;18640320;0.0
WIN;18640321;0.0
WIN;18640322;0.6
WIN;18640323;8.7
WIN;18640324;0.0
WIN;18640325;0.0
WIN;18640326;0.1
WIN;18640327;0.1
WIN;18640328;3.1
WIN;18640329;0.0
WIN;18640330;0.7
WIN;18640331;0.1
WIN;18640401;0.2
WIN;18640402;6.8
WIN;18640403;0.5
WIN;18640404;0.0
WIN;18640405;12.6
WIN;18640406;0.0
WIN;18640407;0.0
WIN;18640408;0.0
WIN;18640409;0.0
WIN;18640410;0.0
WIN;18640411;0.0
WIN;18640412;0.0
WIN;18640413;0.0
WIN;18640414;0.0
WIN;18640415;0.0
WIN;18640416;0.0
WIN;18640417;8.2
WIN;18640418;0.0
WIN;18640419;0.0
WIN;18640420;0.0
WIN;18640421;0.0
WIN;18640422;0.0
WIN;18640423;0.0
WIN;18640424;0.0
WIN;18640425;0.0
WIN;18640426;0.0
WIN;18640427;0.5
WIN;18640428;6.1
WIN;18640429;11.2
WIN;18640430;0.0
WIN;18640501;0.0
WIN;18640502;0.0
WIN;18640503;5.4
WIN;18640504;4.1
WIN;18640505;8.6
WIN;18640506;0.0
WIN;18640507;0.0
WIN;18640508;1.3
WIN;18640509;0.4
WIN;18640510;4.1
WIN;18640511;0.6
WIN;18640512;0.0
WIN;18640513;5.4
WIN;18640514;3.3
WIN;18640515;5.4
WIN;18640516;0.0
WIN;18640517;0.0
WIN;18640518;0.0
WIN;18640519;1.5
WIN;18640520;0.0
WIN;18640521;0.0
WIN;18640522;0.1
WIN;18640523;0.0
WIN;18640524;6.4
WIN;18640525;0.0
WIN;18640526;0.0
WIN;18640527;0.0
WIN;18640528;0.0
WIN;18640529;0.0
WIN;18640530;0.0
WIN;18640531;0.0
WIN;18640601;5.9
WIN;18640602;2.9
WIN;18640603;12.3
WIN;18640604;0.3
WIN;18640605;20.8
WIN;18640606;0.0
WIN;18640607;2.9
WIN;18640608;0.0
WIN;18640609;0.2
WIN;18640610;10.4
WIN;18640611;17.2
WIN;18640612;0.0
WIN;18640613;0.0
WIN;18640614;0.0
WIN;18640615;0.6
WIN;18640616;2.2
WIN;18640617;9.1
WIN;18640618;4.6
WIN;18640619;1.1
WIN;18640620;0.0
WIN;18640621;0.0
WIN;18640622;0.0
WIN;18640623;0.0
WIN;18640624;1.5
WIN;18640625;0.0
WIN;18640626;0.0
WIN;18640627;19.5
WIN;18640628;13.6
WIN;18640629;0.0
WIN;18640630;0.0
WIN;18640701;7.2
WIN;18640702;0.0
WIN;18640703;0.0
WIN;18640704;14.9
WIN;18640705;0.0
WIN;18640706;0.0
WIN;18640707;0.0
WIN;18640708;0.0
WIN;18640709;0.7
WIN;18640710;0.0
WIN;18640711;0.6
WIN;18640712;0.0
WIN;18640713;1.9
WIN;18640714;3.6
WIN;18640715;0.0
WIN;18640716;0.0
WIN;18640717;0.6
WIN;18640718;0.7
WIN;18640719;5.2
WIN;18640720;0.0
WIN;18640721;0.0
WIN;18640722;7.8
WIN;18640723;1.3
WIN;18640724;0.0
WIN;18640725;0.0
WIN;18640726;6.4
WIN;18640727;0.0
WIN;18640728;0.0
WIN;18640729;5.6
WIN;18640730;0.0
WIN;18640731;0.0
WIN;18640801;0.0
WIN;18640802;0.6
WIN;18640803;0.0
WIN;18640804;0.0
WIN;18640805;0.0
WIN;18640806;0.0
WIN;18640807;0.0
WIN;18640808;0.0
WIN;18640809;0.0
WIN;18640810;4.0
WIN;18640811;9.4
WIN;18640812;0.0
WIN;18640813;0.0
WIN;18640814;0.0
