 

stn;time;rs1000y0
CTO;1901;3
CTO;1902;1
CTO;1903;2
CTO;1904;1
CTO;1905;1
CTO;1906;1
CTO;1907;1
CTO;1908;1
CTO;1909;0
CTO;1910;0
CTO;1911;2
CTO;1912;0
CTO;1913;1
CTO;1914;3
CTO;1915;0
CTO;1916;0
CTO;1917;0
CTO;1918;1
CTO;1919;0
CTO;1920;5
CTO;1921;1
CTO;1922;1
CTO;1923;1
CTO;1924;1
CTO;1925;2
CTO;1926;3
CTO;1927;1
CTO;1928;2
CTO;1929;0
CTO;1930;0
CTO;1931;1
CTO;1932;2
CTO;1933;1
CTO;1934;3
CTO;1935;3
CTO;1936;2
CTO;1937;0
CTO;1938;1
CTO;1939;1
CTO;1940;2
CTO;1941;1
CTO;1942;0
CTO;1943;1
CTO;1944;0
CTO;1945;3
CTO;1946;0
CTO;1947;0
CTO;1948;0
CTO;1949;0
CTO;1950;0
CTO;1951;3
CTO;1952;2
CTO;1953;2
CTO;1954;0
CTO;1955;0
CTO;1956;1
CTO;1957;0
CTO;1958;0
CTO;1959;0
CTO;1960;3
CTO;1961;1
CTO;1962;1
CTO;1963;3
CTO;1964;0
CTO;1965;2
CTO;1966;2
CTO;1967;0
CTO;1968;1
CTO;1969;0
CTO;1970;0
CTO;1971;0
CTO;1972;0
CTO;1973;3
CTO;1974;0
CTO;1975;0
CTO;1976;3
CTO;1977;4
CTO;1978;2
CTO;1979;3
CTO;1980;1
CTO;1981;1
CTO;1982;3
CTO;1983;2
CTO;1984;2
CTO;1985;1
CTO;1986;0
CTO;1987;3
CTO;1988;2
CTO;1989;2
CTO;1990;1
CTO;1991;4
CTO;1992;0
CTO;1993;3
CTO;1994;2
CTO;1995;1
CTO;1996;0
CTO;1997;1
CTO;1998;1
CTO;1999;1
CTO;2000;3
CTO;2001;2
CTO;2002;6
CTO;2003;0
CTO;2004;2
CTO;2005;0
CTO;2006;2
CTO;2007;1
CTO;2008;3
CTO;2009;2
CTO;2010;1
CTO;2011;1
CTO;2012;0
CTO;2013;2
CTO;2014;3
CTO;2015;1
CTO;2016;0
CTO;2017;2
CTO;2018;0
CTO;2019;0
CTO;2020;4
