 

stn;time;hto000y0
MUE;1967;29
MUE;1968;46
MUE;1969;31
MUE;1970;51
MUE;1971;26
MUE;1972;15
MUE;1973;28
MUE;1974;38
MUE;1975;57
MUE;1976;30
MUE;1977;29
MUE;1978;37
MUE;1979;32
MUE;1980;39
MUE;1981;51
MUE;1982;46
MUE;1983;33
MUE;1984;34
MUE;1985;30
MUE;1986;43
MUE;1987;46
MUE;1988;26
MUE;1989;5
MUE;1990;7
MUE;1991;13
MUE;1992;28
MUE;1993;16
MUE;1994;14
MUE;1995;32
MUE;1996;9
MUE;1997;19
MUE;1998;20
MUE;1999;57
MUE;2000;37
MUE;2001;20
MUE;2002;18
