 

stn;time;fu3010m1
NABLAE;200505;74.9
NABLAE;200506;108.0
NABLAE;200507;65.5
NABLAE;200508;64.4
NABLAE;200509;45.7
NABLAE;200510;51.1
NABLAE;200511;65.5
NABLAE;200512;90.4
NABLAE;200601;83.9
NABLAE;200602;82.4
NABLAE;200603;93.6
NABLAE;200604;68.8
NABLAE;200605;94.7
NABLAE;200606;110.9
NABLAE;200607;80.3
NABLAE;200608;78.5
NABLAE;200609;56.9
NABLAE;200610;105.5
NABLAE;200611;63.7
NABLAE;200612;86.0
NABLAE;200701;124.6
NABLAE;200702;78.5
NABLAE;200703;93.2
NABLAE;200704;52.9
NABLAE;200705;83.5
NABLAE;200706;92.9
NABLAE;200707;71.6
NABLAE;200708;51.8
NABLAE;200709;59.8
NABLAE;200710;46.4
NABLAE;200711;85.7
NABLAE;200712;107.6
NABLAE;200801;87.1
NABLAE;200802;80.3
NABLAE;200803;116.3
NABLAE;200804;82.4
NABLAE;200805;71.6
NABLAE;200806;72.7
NABLAE;200807;64.8
NABLAE;200808;58.7
NABLAE;200809;63.0
NABLAE;200810;70.9
NABLAE;200811;86.0
NABLAE;200812;65.2
NABLAE;200901;86.8
NABLAE;200902;110.2
NABLAE;200903;78.5
NABLAE;200904;73.8
NABLAE;200905;76.0
NABLAE;200906;70.6
NABLAE;200907;68.0
NABLAE;200908;54.7
NABLAE;200909;90.4
NABLAE;200910;73.1
NABLAE;200911;99.0
NABLAE;200912;73.4
NABLAE;201001;68.8
NABLAE;201002;99.4
NABLAE;201003;78.5
NABLAE;201004;60.1
NABLAE;201005;69.1
NABLAE;201006;43.9
NABLAE;201007;65.2
