 

stn;time;tnd00xy0
CHU;1958;16
CHU;1959;7
CHU;1960;15
CHU;1961;11
CHU;1962;22
CHU;1963;41
CHU;1964;17
CHU;1965;15
CHU;1966;18
CHU;1967;22
CHU;1968;21
CHU;1969;34
CHU;1970;17
CHU;1971;20
CHU;1972;3
CHU;1973;17
CHU;1974;1
CHU;1975;9
CHU;1976;19
CHU;1977;9
CHU;1978;11
CHU;1979;11
CHU;1980;18
CHU;1981;23
CHU;1982;5
CHU;1983;10
CHU;1984;11
CHU;1985;38
CHU;1986;20
CHU;1987;24
CHU;1988;5
CHU;1989;7
CHU;1990;6
CHU;1991;14
CHU;1992;12
CHU;1993;16
CHU;1994;3
CHU;1995;16
CHU;1996;13
CHU;1997;1
CHU;1998;13
CHU;1999;14
CHU;2000;5
CHU;2001;14
CHU;2002;2
CHU;2003;19
CHU;2004;7
CHU;2005;25
CHU;2006;10
CHU;2007;8
CHU;2008;2
CHU;2009;13
CHU;2010;22
CHU;2011;6
CHU;2012;19
CHU;2013;12
CHU;2014;2
CHU;2015;5
CHU;2016;2
CHU;2017;12
CHU;2018;4
CHU;2019;4
CHU;2020;0
