 

stn;time;rzz150yx
BAS;1981;10.1
BAS;1982;11.2
BAS;1983;7.7
BAS;1984;8.0
BAS;1985;5.3
BAS;1986;7.5
BAS;1987;9.4
BAS;1988;6.8
BAS;1989;6.6
BAS;1990;6.8
BAS;1991;18.1
BAS;1992;7.5
BAS;1993;15.9
BAS;1994;13.6
BAS;1995;12.1
BAS;1996;11.0
BAS;1997;8.9
BAS;1998;7.5
BAS;1999;13.4
BAS;2000;13.4
BAS;2001;13.6
BAS;2002;10.0
BAS;2003;10.5
BAS;2004;13.9
BAS;2005;11.0
BAS;2006;16.3
BAS;2007;17.0
BAS;2008;14.6
BAS;2009;12.3
BAS;2010;7.9
BAS;2011;10.7
BAS;2012;12.7
BAS;2013;16.0
BAS;2014;16.9
BAS;2015;10.2
BAS;2016;14.6
BAS;2017;17.2
BAS;2018;9.9
BAS;2019;10.5
BAS;2020;8.3
