 

stn;time;rhh150yx
NEU;1981;8.2
NEU;1982;14.9
NEU;1983;59.0
NEU;1984;10.9
NEU;1985;10.1
NEU;1986;33.1
NEU;1987;18.3
NEU;1988;43.5
NEU;1989;14.3
NEU;1990;15.8
NEU;1991;18.1
NEU;1992;12.0
NEU;1993;16.1
NEU;1994;17.8
NEU;1995;15.4
NEU;1996;36.2
NEU;1997;41.1
NEU;1998;13.8
NEU;1999;28.0
NEU;2000;14.0
NEU;2001;13.4
NEU;2002;39.5
NEU;2003;26.9
NEU;2004;33.3
NEU;2005;6.7
NEU;2006;14.3
NEU;2007;37.8
NEU;2008;12.8
NEU;2009;10.0
NEU;2010;10.5
NEU;2011;12.0
NEU;2012;18.5
NEU;2013;23.3
NEU;2014;14.4
NEU;2015;18.9
NEU;2016;10.8
NEU;2017;17.3
NEU;2018;30.6
NEU;2019;20.6
NEU;2020;10.4
