 

stn;time;rhh150yx
STG;1982;27.1
STG;1983;16.7
STG;1984;24.3
STG;1985;19.8
STG;1986;31.7
STG;1987;30.6
STG;1988;12.7
STG;1989;20.0
STG;1990;19.4
STG;1991;21.9
STG;1992;17.4
STG;1993;18.8
STG;1994;21.8
STG;1995;18.6
STG;1996;21.1
STG;1997;10.8
STG;1998;21.4
STG;1999;12.5
STG;2000;25.2
STG;2001;16.7
STG;2002;36.9
STG;2003;19.0
STG;2004;20.7
STG;2005;28.0
STG;2006;19.1
STG;2007;14.1
STG;2008;29.4
STG;2009;17.3
STG;2010;12.7
STG;2011;44.9
STG;2012;15.0
STG;2013;20.3
STG;2014;16.7
STG;2015;34.5
STG;2016;14.2
STG;2017;14.3
STG;2018;37.4
STG;2019;15.2
STG;2020;33.9
