Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95173

Filename                                Filetype  Station                              Parameter                                                   Period
order_95173_TIBIC_rhh150yx_1_data.txt   Data      Biasca A2                            Precipitation; maximum total per hour of the year           2011-2020
order_95173_TIBIC_rhh150yx_1_legend.txt Legend    Biasca A2                            Precipitation; maximum total per hour of the year           2011-2020
order_95173_SOBIB_rhh150yx_1_data.txt   Data      Bibern                               Precipitation; maximum total per hour of the year           1998-2012
order_95173_SOBIB_rhh150yx_1_legend.txt Legend    Bibern                               Precipitation; maximum total per hour of the year           1998-2012
order_95173_BEBIL_rhh150yx_1_data.txt   Data      Biel / Bözingen                      Precipitation; maximum total per hour of the year           2002-2013
order_95173_BEBIL_rhh150yx_1_legend.txt Legend    Biel / Bözingen                      Precipitation; maximum total per hour of the year           2002-2013
order_95173_GLBIL_rhh150yx_1_data.txt   Data      Bilten                               Precipitation; maximum total per hour of the year           2016-2017
order_95173_GLBIL_rhh150yx_1_legend.txt Legend    Bilten                               Precipitation; maximum total per hour of the year           2016-2017
order_95173_GLBIL_rhh150yx_2_data.txt   Data      Bilten                               Precipitation; maximum total per hour of the year           2018-2019
order_95173_GLBIL_rhh150yx_2_legend.txt Legend    Bilten                               Precipitation; maximum total per hour of the year           2018-2019
order_95173_TIBIO_rhh150yx_1_data.txt   Data      Bioggio                              Precipitation; maximum total per hour of the year           2009-2018
order_95173_TIBIO_rhh150yx_1_legend.txt Legend    Bioggio                              Precipitation; maximum total per hour of the year           2009-2018
order_95173_TIBIO_rhh150yx_2_data.txt   Data      Bioggio                              Precipitation; maximum total per hour of the year           2019-2020
order_95173_TIBIO_rhh150yx_2_legend.txt Legend    Bioggio                              Precipitation; maximum total per hour of the year           2019-2020
order_95173_ZHBID_rhh150yx_1_data.txt   Data      Birmensdorf                          Precipitation; maximum total per hour of the year           2003-2020
order_95173_ZHBID_rhh150yx_1_legend.txt Legend    Birmensdorf                          Precipitation; maximum total per hour of the year           2003-2020
order_95173_AGBRW_rhh150yx_1_data.txt   Data      Birrwil                              Precipitation; maximum total per hour of the year           2000-2008
order_95173_AGBRW_rhh150yx_1_legend.txt Legend    Birrwil                              Precipitation; maximum total per hour of the year           2000-2008
order_95173_AGBRW_rhh150yx_2_data.txt   Data      Birrwil                              Precipitation; maximum total per hour of the year           2009-2020
order_95173_AGBRW_rhh150yx_2_legend.txt Legend    Birrwil                              Precipitation; maximum total per hour of the year           2009-2020
order_95173_BIZ_rhh150yx_1_data.txt     Data      Bischofszell                         Precipitation; maximum total per hour of the year           2010-2020
order_95173_BIZ_rhh150yx_1_legend.txt   Legend    Bischofszell                         Precipitation; maximum total per hour of the year           2010-2020
order_95173_MMBOY_rhh150yx_1_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the year           2012-2020
order_95173_MMBOY_rhh150yx_1_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the year           2012-2020
order_95173_BOU_rhh150yx_1_data.txt     Data      Bouveret                             Precipitation; maximum total per hour of the year           1994-2007
order_95173_BOU_rhh150yx_1_legend.txt   Legend    Bouveret                             Precipitation; maximum total per hour of the year           1994-2007
order_95173_IYBOZ_rhh150yx_1_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the year           2000-2001
order_95173_IYBOZ_rhh150yx_1_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the year           2000-2001
order_95173_IYBOZ_rhh150yx_2_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the year           2002-2019
order_95173_IYBOZ_rhh150yx_2_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the year           2002-2019
order_95173_IYBRZ_rhh150yx_1_data.txt   Data      Branzoll                             Precipitation; maximum total per hour of the year           2008-2019
order_95173_IYBRZ_rhh150yx_1_legend.txt Legend    Branzoll                             Precipitation; maximum total per hour of the year           2008-2019
order_95173_DLBUC_rhh150yx_1_data.txt   Data      Buchenbach                           Precipitation; maximum total per hour of the year           2004-2020
order_95173_DLBUC_rhh150yx_1_legend.txt Legend    Buchenbach                           Precipitation; maximum total per hour of the year           2004-2020
order_95173_BUS_rhh150yx_1_data.txt     Data      Buchs / Aarau                        Precipitation; maximum total per hour of the year           1984-2020
order_95173_BUS_rhh150yx_1_legend.txt   Legend    Buchs / Aarau                        Precipitation; maximum total per hour of the year           1984-2020
order_95173_BEBUD_rhh150yx_1_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the year           2013-2015
order_95173_BEBUD_rhh150yx_1_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the year           2013-2015
order_95173_BEBUD_rhh150yx_2_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the year           2019-2020
order_95173_BEBUD_rhh150yx_2_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum total per hour of the year           2019-2020
order_95173_BEBUE_rhh150yx_1_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the year           2013-2015
order_95173_BEBUE_rhh150yx_1_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the year           2013-2015
order_95173_BEBUE_rhh150yx_2_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the year           2016-2020
order_95173_BEBUE_rhh150yx_2_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the year           2016-2020
order_95173_BEBUV_rhh150yx_1_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the year           2013-2015
