 

stn;time;tre200y0
DLFRI;1947;9.4
DLFRI;1948;9.3
DLFRI;1949;9.3
DLFRI;1950;9.6
DLFRI;1951;9.5
DLFRI;1952;9.3
DLFRI;1953;9.1
DLFRI;1954;8.6
DLFRI;1955;8.7
DLFRI;1956;7.8
DLFRI;1957;9.2
DLFRI;1958;9.3
DLFRI;1959;9.7
DLFRI;1960;9.4
DLFRI;1961;10.1
DLFRI;1962;8.4
DLFRI;1963;8.1
DLFRI;1964;9.3
DLFRI;1965;8.4
DLFRI;1966;9.6
DLFRI;1967;9.5
DLFRI;1968;9.1
DLFRI;1969;8.7
DLFRI;1970;8.9
DLFRI;1971;9.0
DLFRI;1972;8.7
DLFRI;1973;9.0
DLFRI;1974;9.7
DLFRI;1975;9.4
DLFRI;1976;9.3
DLFRI;1977;9.1
DLFRI;1978;8.1
DLFRI;1979;8.9
