 

stn;time;tnd00xy0
GUT;1977;13
GUT;1978;31
GUT;1979;16
GUT;1980;29
GUT;1981;27
GUT;1982;17
GUT;1983;29
GUT;1984;16
GUT;1985;42
GUT;1986;32
GUT;1987;35
GUT;1988;4
GUT;1989;24
GUT;1990;17
GUT;1991;32
GUT;1992;20
GUT;1993;23
GUT;1994;12
GUT;1995;24
GUT;1996;29
GUT;1997;21
GUT;1998;24
GUT;1999;23
GUT;2000;9
GUT;2001;14
GUT;2002;16
GUT;2003;29
GUT;2004;16
GUT;2005;35
GUT;2006;24
GUT;2007;13
GUT;2008;7
GUT;2009;25
GUT;2010;38
GUT;2011;13
GUT;2012;21
GUT;2013;24
GUT;2014;2
GUT;2015;11
GUT;2016;5
GUT;2017;16
GUT;2018;11
GUT;2019;9
GUT;2020;4
