 

stn;time;hto000y0
SMM;1970;21
SMM;1971;19
SMM;1972;15
SMM;1973;9
SMM;1974;10
SMM;1975;17
SMM;1976;9
SMM;1977;21
SMM;1978;21
SMM;1979;20
SMM;1980;15
SMM;1981;5
SMM;1982;14
SMM;1983;8
SMM;1984;16
SMM;1985;11
SMM;1986;24
SMM;1987;13
SMM;1988;9
SMM;1989;1
SMM;1990;6
SMM;1991;14
SMM;1992;11
SMM;1993;6
SMM;1994;8
SMM;1995;9
SMM;1996;11
SMM;1997;11
SMM;1998;9
SMM;1999;10
SMM;2000;8
SMM;2001;11
SMM;2002;3
SMM;2003;6
SMM;2004;15
SMM;2005;9
SMM;2006;13
SMM;2007;5
SMM;2008;13
SMM;2009;22
SMM;2010;20
SMM;2011;6
SMM;2012;7
SMM;2013;11
SMM;2014;20
SMM;2015;6
SMM;2016;5
SMM;2017;4
SMM;2018;17
SMM;2019;10
SMM;2020;8
