 

stn;time;rsd300y0
OBI;1884;6
OBI;1885;4
OBI;1886;10
OBI;1887;7
OBI;1888;14
OBI;1889;9
OBI;1890;10
OBI;1891;9
OBI;1892;7
OBI;1893;9
OBI;1894;6
OBI;1895;11
OBI;1896;11
OBI;1897;15
OBI;1898;16
OBI;1899;8
OBI;1900;10
OBI;1901;11
OBI;1902;9
OBI;1903;10
OBI;1904;10
OBI;1905;9
OBI;1906;13
OBI;1907;8
OBI;1908;13
OBI;1909;10
OBI;1910;15
OBI;1911;6
OBI;1912;12
OBI;1913;9
OBI;1914;8
OBI;1915;12
OBI;1916;13
OBI;1917;9
OBI;1918;13
OBI;1919;13
OBI;1920;5
OBI;1921;7
OBI;1922;15
OBI;1923;9
OBI;1924;13
OBI;1925;12
OBI;1926;8
OBI;1927;13
OBI;1928;12
OBI;1929;9
OBI;1930;17
OBI;1931;8
OBI;1932;13
OBI;1933;17
OBI;1934;11
OBI;1935;18
OBI;1936;14
OBI;1937;13
OBI;1938;11
OBI;1939;15
OBI;1940;26
OBI;1941;9
OBI;1942;11
OBI;1943;7
OBI;1944;13
OBI;1945;15
OBI;1946;6
OBI;1947;11
OBI;1948;13
OBI;1949;9
OBI;1950;13
OBI;1951;13
OBI;1952;13
OBI;1953;15
OBI;1954;11
OBI;1955;14
OBI;1956;14
OBI;1957;11
OBI;1958;17
OBI;1959;9
OBI;1960;13
OBI;1961;11
OBI;1962;13
OBI;1963;9
OBI;1964;16
OBI;1965;14
OBI;1966;11
OBI;1967;22
OBI;1968;16
OBI;1969;17
OBI;1970;21
OBI;1971;13
OBI;1972;12
OBI;1973;13
OBI;1974;9
OBI;1975;15
OBI;1976;12
OBI;1977;15
OBI;1978;11
OBI;1979;20
OBI;1980;15
OBI;1981;23
OBI;1982;12
OBI;1983;17
OBI;1984;18
OBI;1985;18
OBI;1986;20
OBI;1987;19
OBI;1988;14
OBI;1989;10
OBI;1990;15
OBI;1991;12
OBI;1992;14
OBI;1993;16
OBI;1994;12
OBI;1995;17
OBI;1996;12
OBI;1997;16
OBI;1998;11
OBI;1999;18
OBI;2000;13
OBI;2001;14
OBI;2002;21
OBI;2003;10
OBI;2004;9
OBI;2005;11
OBI;2006;12
OBI;2007;16
OBI;2008;17
OBI;2009;8
OBI;2010;21
OBI;2011;12
OBI;2012;10
OBI;2013;12
OBI;2014;15
OBI;2015;8
OBI;2016;11
OBI;2017;15
OBI;2018;17
OBI;2019;11
OBI;2020;11
