Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94867

Filename                                Filetype  Station                              Parameter                                                   Period
order_94867_DLKIS_rzz150mx_1_data.txt   Data      Bad Kissingen                        Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLKIS_rzz150mx_1_legend.txt Legend    Bad Kissingen                        Precipitation; maximum ten minute total of the month        202102-202104
order_94867_RAG_rzz150mx_1_data.txt     Data      Bad Ragaz                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_RAG_rzz150mx_1_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLBAB_rzz150mx_1_data.txt   Data      Baden-Baden / Geroldsau              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLBAB_rzz150mx_1_legend.txt Legend    Baden-Baden / Geroldsau              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLBAM_rzz150mx_1_data.txt   Data      Bamberg                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLBAM_rzz150mx_1_legend.txt Legend    Bamberg                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BAS_rzz150mx_1_data.txt     Data      Basel / Binningen                    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BAS_rzz150mx_1_legend.txt   Legend    Basel / Binningen                    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_KADER_rzz150mx_1_data.txt   Data      Basel / Dreispitz                    Precipitation; maximum ten minute total of the month        202103-202104
order_94867_KADER_rzz150mx_1_legend.txt Legend    Basel / Dreispitz                    Precipitation; maximum ten minute total of the month        202103-202104
order_94867_VDBAU_rzz150mx_1_data.txt   Data      Baulmes                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDBAU_rzz150mx_1_legend.txt Legend    Baulmes                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_ZHBAM_rzz150mx_1_data.txt   Data      Bauma                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_ZHBAM_rzz150mx_1_legend.txt Legend    Bauma                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BLZ_rzz150mx_1_data.txt     Data      Bellinzona                           Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BLZ_rzz150mx_1_legend.txt   Legend    Bellinzona                           Precipitation; maximum ten minute total of the month        202102-202104
