 

stn;time;rhh150yx
ULR;1982;8.2
ULR;1983;9.5
ULR;1984;10.6
ULR;1985;10.0
ULR;1986;10.6
ULR;1987;9.6
ULR;1988;14.5
ULR;1989;8.8
ULR;1990;11.6
ULR;1991;9.9
ULR;1992;16.0
ULR;1993;11.6
ULR;1994;15.6
ULR;1995;9.5
ULR;1996;17.8
ULR;1997;14.5
ULR;1998;14.2
ULR;1999;19.4
ULR;2000;14.5
ULR;2001;14.3
ULR;2002;10.4
ULR;2003;12.0
ULR;2004;9.4
ULR;2005;10.1
ULR;2006;12.4
ULR;2007;9.4
ULR;2008;22.0
ULR;2009;9.1
ULR;2010;12.2
ULR;2011;11.1
ULR;2012;11.0
ULR;2013;10.1
ULR;2014;10.3
ULR;2015;9.1
ULR;2016;11.5
ULR;2017;8.0
ULR;2018;17.7
ULR;2019;10.2
ULR;2020;9.3
