 

stn;time;hto000y0
BAS;1931;1
BAS;1932;0
BAS;1933;0
BAS;1934;0
BAS;1935;1
BAS;1936;0
BAS;1937;0
BAS;1938;0
BAS;1939;0
BAS;1940;0
BAS;1941;0
BAS;1942;1
BAS;1943;0
BAS;1944;0
BAS;1945;1
BAS;1946;0
BAS;1947;0
BAS;1948;0
BAS;1949;0
BAS;1950;0
BAS;1951;0
BAS;1952;0
BAS;1953;0
BAS;1954;0
BAS;1955;0
BAS;1956;0
BAS;1957;0
BAS;1958;0
BAS;1959;0
BAS;1960;0
BAS;1961;0
BAS;1962;0
BAS;1963;1
BAS;1964;0
BAS;1965;0
BAS;1966;0
BAS;1967;0
BAS;1968;0
BAS;1969;0
BAS;1970;0
BAS;1971;0
BAS;1972;0
BAS;1973;0
BAS;1974;0
BAS;1975;0
BAS;1976;0
BAS;1977;0
BAS;1978;0
BAS;1979;0
BAS;1980;0
BAS;1981;0
BAS;1982;0
BAS;1983;0
BAS;1984;0
BAS;1985;1
BAS;1986;2
BAS;1987;0
BAS;1988;0
BAS;1989;0
BAS;1990;0
BAS;1991;0
BAS;1992;0
BAS;1993;0
BAS;1994;0
BAS;1995;0
BAS;1996;0
BAS;1997;0
BAS;1998;0
BAS;1999;0
BAS;2000;0
BAS;2001;0
BAS;2002;0
BAS;2003;0
BAS;2004;0
BAS;2005;0
BAS;2006;1
BAS;2007;0
BAS;2008;0
BAS;2009;0
BAS;2010;1
BAS;2011;0
BAS;2012;1
BAS;2013;1
BAS;2014;0
BAS;2015;0
BAS;2016;0
BAS;2017;0
BAS;2018;0
BAS;2019;0
BAS;2020;0
