 

stn;time;rzz150yx
PIO;1981;11.7
PIO;1982;6.5
PIO;1983;6.7
PIO;1984;8.1
PIO;1985;6.2
PIO;1986;7.8
PIO;1987;4.7
PIO;1988;6.5
PIO;1989;13.2
PIO;1990;6.7
PIO;1991;11.8
PIO;1992;5.5
PIO;1993;6.0
PIO;1994;4.0
PIO;1995;8.1
PIO;1996;6.9
PIO;1997;13.4
PIO;1998;11.8
PIO;1999;7.8
PIO;2000;10.2
PIO;2001;9.2
PIO;2002;4.7
PIO;2003;15.1
PIO;2004;4.1
PIO;2005;13.4
PIO;2006;5.2
PIO;2007;6.7
PIO;2008;8.9
PIO;2009;10.4
PIO;2010;10.8
PIO;2011;11.5
PIO;2012;7.8
PIO;2013;9.6
PIO;2014;7.1
PIO;2015;14.7
PIO;2016;6.9
PIO;2017;9.4
PIO;2018;16.5
PIO;2019;17.5
PIO;2020;5.9
