Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94080

Filename                                Filetype  Station                              Parameter                                                   Period
order_94080_WSLALB_rhh150mx_4_legend.txt Legend    Alpthal Bestand                      Precipitation; maximum total per hour of the month          202002-202005
order_94080_WSLALB_rhh150mx_5_data.txt  Data      Alpthal Bestand                      Precipitation; maximum total per hour of the month          202007-202012
order_94080_WSLALB_rhh150mx_5_legend.txt Legend    Alpthal Bestand                      Precipitation; maximum total per hour of the month          202007-202012
order_94080_WSLALB_rhh150mx_6_data.txt  Data      Alpthal Bestand                      Precipitation; maximum total per hour of the month          202102-202103
order_94080_WSLALB_rhh150mx_6_legend.txt Legend    Alpthal Bestand                      Precipitation; maximum total per hour of the month          202102-202103
order_94080_DLBAL_rhh150mx_1_data.txt   Data      Balderschwang                        Precipitation; maximum total per hour of the month          202102-202103
order_94080_DLBAL_rhh150mx_1_legend.txt Legend    Balderschwang                        Precipitation; maximum total per hour of the month          202102-202103
order_94080_WSLBTB_rhh150mx_1_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum total per hour of the month          201712-201803
order_94080_WSLBTB_rhh150mx_1_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum total per hour of the month          201712-201803
order_94080_WSLBTB_rhh150mx_2_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum total per hour of the month          201804-201811
order_94080_WSLBTB_rhh150mx_2_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum total per hour of the month          201804-201811
order_94080_WSLBTB_rhh150mx_3_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum total per hour of the month          201812-201909
order_94080_WSLBTB_rhh150mx_3_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum total per hour of the month          201812-201909
order_94080_WSLBTB_rhh150mx_4_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum total per hour of the month          202002-202005
order_94080_WSLBTB_rhh150mx_4_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum total per hour of the month          202002-202005
order_94080_WSLBTB_rhh150mx_5_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum total per hour of the month          202006-202010
order_94080_WSLBTB_rhh150mx_5_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum total per hour of the month          202006-202010
order_94080_WSLBTB_rhh150mx_6_data.txt  Data      Bettlachstock Bestand                Precipitation; maximum total per hour of the month          202011-202012
order_94080_WSLBTB_rhh150mx_6_legend.txt Legend    Bettlachstock Bestand                Precipitation; maximum total per hour of the month          202011-202012
order_94080_WSLBTF_rhh150mx_1_data.txt  Data      Bettlachstock Freiland               Precipitation; maximum total per hour of the month          201712-201811
order_94080_WSLBTF_rhh150mx_1_legend.txt Legend    Bettlachstock Freiland               Precipitation; maximum total per hour of the month          201712-201811
order_94080_WSLBTF_rhh150mx_2_data.txt  Data      Bettlachstock Freiland               Precipitation; maximum total per hour of the month          201812-201908
order_94080_WSLBTF_rhh150mx_2_legend.txt Legend    Bettlachstock Freiland               Precipitation; maximum total per hour of the month          201812-201908
order_94080_WSLBTF_rhh150mx_3_data.txt  Data      Bettlachstock Freiland               Precipitation; maximum total per hour of the month          202002-202004
order_94080_WSLBTF_rhh150mx_3_legend.txt Legend    Bettlachstock Freiland               Precipitation; maximum total per hour of the month          202002-202004
order_94080_WSLBTF_rhh150mx_4_data.txt  Data      Bettlachstock Freiland               Precipitation; maximum total per hour of the month          202006-202010
order_94080_WSLBTF_rhh150mx_4_legend.txt Legend    Bettlachstock Freiland               Precipitation; maximum total per hour of the month          202006-202010
order_94080_FRE_rhh150mx_1_data.txt     Data      Bullet / La Frétaz                   Precipitation; maximum total per hour of the month          198012-200605
order_94080_FRE_rhh150mx_1_legend.txt   Legend    Bullet / La Frétaz                   Precipitation; maximum total per hour of the month          198012-200605
order_94080_FRE_rhh150mx_2_data.txt     Data      Bullet / La Frétaz                   Precipitation; maximum total per hour of the month          200606-200912
order_94080_FRE_rhh150mx_2_legend.txt   Legend    Bullet / La Frétaz                   Precipitation; maximum total per hour of the month          200606-200912
order_94080_FRE_rhh150mx_3_data.txt     Data      Bullet / La Frétaz                   Precipitation; maximum total per hour of the month          201001-202103
order_94080_FRE_rhh150mx_3_legend.txt   Legend    Bullet / La Frétaz                   Precipitation; maximum total per hour of the month          201001-202103
order_94080_VSCHY_rhh150mx_1_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201010-201108
order_94080_VSCHY_rhh150mx_1_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201010-201108
order_94080_VSCHY_rhh150mx_2_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201109-201212
order_94080_VSCHY_rhh150mx_2_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201109-201212
order_94080_VSCHY_rhh150mx_3_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201301-201308
