Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94908

Filename                                Filetype  Station                              Parameter                                                   Period
order_94908_BAD_rti150yx_1_data.txt     Data      Baden                                Precipitation; date of the maximum daily total of the year  1895-1995
order_94908_BAD_rti150yx_1_legend.txt   Legend    Baden                                Precipitation; date of the maximum daily total of the year  1895-1995
order_94908_DLBAB_rti150yx_1_data.txt   Data      Baden-Baden / Geroldsau              Precipitation; date of the maximum daily total of the year  1948-1983
order_94908_DLBAB_rti150yx_1_legend.txt Legend    Baden-Baden / Geroldsau              Precipitation; date of the maximum daily total of the year  1948-1983
order_94908_DLBAB_rti150yx_2_data.txt   Data      Baden-Baden / Geroldsau              Precipitation; date of the maximum daily total of the year  1984-2020
order_94908_DLBAB_rti150yx_2_legend.txt Legend    Baden-Baden / Geroldsau              Precipitation; date of the maximum daily total of the year  1984-2020
order_94908_BAS_rti150yx_1_data.txt     Data      Basel / Binningen                    Precipitation; date of the maximum daily total of the year  1863-2020
order_94908_BAS_rti150yx_1_legend.txt   Legend    Basel / Binningen                    Precipitation; date of the maximum daily total of the year  1863-2020
order_94908_KADER_rti150yx_1_data.txt   Data      Basel / Dreispitz                    Precipitation; date of the maximum daily total of the year  2018-2020
order_94908_KADER_rti150yx_1_legend.txt Legend    Basel / Dreispitz                    Precipitation; date of the maximum daily total of the year  2018-2020
order_94908_BSS_rti150yx_1_data.txt     Data      Basel-Stadt                          Precipitation; date of the maximum daily total of the year  1971-1986
order_94908_BSS_rti150yx_1_legend.txt   Legend    Basel-Stadt                          Precipitation; date of the maximum daily total of the year  1971-1986
order_94908_BLZ_rti150yx_1_data.txt     Data      Bellinzona                           Precipitation; date of the maximum daily total of the year  1863-1873
order_94908_BLZ_rti150yx_1_legend.txt   Legend    Bellinzona                           Precipitation; date of the maximum daily total of the year  1863-1873
order_94908_BLZ_rti150yx_2_data.txt     Data      Bellinzona                           Precipitation; date of the maximum daily total of the year  1887-1889
order_94908_BLZ_rti150yx_2_legend.txt   Legend    Bellinzona                           Precipitation; date of the maximum daily total of the year  1887-1889
order_94908_BLZ_rti150yx_3_data.txt     Data      Bellinzona                           Precipitation; date of the maximum daily total of the year  1890-1894
order_94908_BLZ_rti150yx_3_legend.txt   Legend    Bellinzona                           Precipitation; date of the maximum daily total of the year  1890-1894
order_94908_BLZ_rti150yx_4_data.txt     Data      Bellinzona                           Precipitation; date of the maximum daily total of the year  1896-1897
order_94908_BLZ_rti150yx_4_legend.txt   Legend    Bellinzona                           Precipitation; date of the maximum daily total of the year  1896-1897
order_94908_BLZ_rti150yx_5_data.txt     Data      Bellinzona                           Precipitation; date of the maximum daily total of the year  1898-2020
order_94908_BLZ_rti150yx_5_legend.txt   Legend    Bellinzona                           Precipitation; date of the maximum daily total of the year  1898-2020
order_94908_BZN_rti150yx_1_data.txt     Data      Beznau                               Precipitation; date of the maximum daily total of the year  1881-2013
order_94908_BZN_rti150yx_1_legend.txt   Legend    Beznau                               Precipitation; date of the maximum daily total of the year  1881-2013
order_94908_BEZ_rti150yx_1_data.txt     Data      Beznau                               Precipitation; date of the maximum daily total of the year  1988-2020
order_94908_BEZ_rti150yx_1_legend.txt   Legend    Beznau                               Precipitation; date of the maximum daily total of the year  1988-2020
order_94908_BIA_rti150yx_1_data.txt     Data      Biasca                               Precipitation; date of the maximum daily total of the year  1899-1932
order_94908_BIA_rti150yx_1_legend.txt   Legend    Biasca                               Precipitation; date of the maximum daily total of the year  1899-1932
order_94908_BIA_rti150yx_2_data.txt     Data      Biasca                               Precipitation; date of the maximum daily total of the year  1933-2020
order_94908_BIA_rti150yx_2_legend.txt   Legend    Biasca                               Precipitation; date of the maximum daily total of the year  1933-2020
order_94908_TIBIC_rti150yx_1_data.txt   Data      Biasca A2                            Precipitation; date of the maximum daily total of the year  2011-2020
order_94908_TIBIC_rti150yx_1_legend.txt Legend    Biasca A2                            Precipitation; date of the maximum daily total of the year  2011-2020
order_94908_TIBIO_rti150yx_1_data.txt   Data      Bioggio                              Precipitation; date of the maximum daily total of the year  2009-2018
order_94908_TIBIO_rti150yx_1_legend.txt Legend    Bioggio                              Precipitation; date of the maximum daily total of the year  2009-2018
order_94908_TIBIO_rti150yx_2_data.txt   Data      Bioggio                              Precipitation; date of the maximum daily total of the year  2019-2020
order_94908_TIBIO_rti150yx_2_legend.txt Legend    Bioggio                              Precipitation; date of the maximum daily total of the year  2019-2020
order_94908_BOU_rti150yx_1_data.txt     Data      Bouveret                             Precipitation; date of the maximum daily total of the year  1994-2002
order_94908_BOU_rti150yx_1_legend.txt   Legend    Bouveret                             Precipitation; date of the maximum daily total of the year  1994-2002
order_94908_BOU_rti150yx_2_data.txt     Data      Bouveret                             Precipitation; date of the maximum daily total of the year  2003-2007
order_94908_BOU_rti150yx_2_legend.txt   Legend    Bouveret                             Precipitation; date of the maximum daily total of the year  2003-2007
order_94908_IYBOZ_rti150yx_1_data.txt   Data      Bozen                                Precipitation; date of the maximum daily total of the year  1920-1943
order_94908_IYBOZ_rti150yx_1_legend.txt Legend    Bozen                                Precipitation; date of the maximum daily total of the year  1920-1943
order_94908_IYBOZ_rti150yx_2_data.txt   Data      Bozen                                Precipitation; date of the maximum daily total of the year  1950-2019
order_94908_IYBOZ_rti150yx_2_legend.txt Legend    Bozen                                Precipitation; date of the maximum daily total of the year  1950-2019
order_94908_IYBRZ_rti150yx_1_data.txt   Data      Branzoll                             Precipitation; date of the maximum daily total of the year  1919-1921
order_94908_IYBRZ_rti150yx_1_legend.txt Legend    Branzoll                             Precipitation; date of the maximum daily total of the year  1919-1921
order_94908_IYBRZ_rti150yx_2_data.txt   Data      Branzoll                             Precipitation; date of the maximum daily total of the year  1922-2019
order_94908_IYBRZ_rti150yx_2_legend.txt Legend    Branzoll                             Precipitation; date of the maximum daily total of the year  1922-2019
order_94908_BSG_rti150yx_1_data.txt     Data      Brissago                             Precipitation; date of the maximum daily total of the year  1900-1913
order_94908_BSG_rti150yx_1_legend.txt   Legend    Brissago                             Precipitation; date of the maximum daily total of the year  1900-1913
order_94908_BSG_rti150yx_2_data.txt     Data      Brissago                             Precipitation; date of the maximum daily total of the year  1914-1935
order_94908_BSG_rti150yx_2_legend.txt   Legend    Brissago                             Precipitation; date of the maximum daily total of the year  1914-1935
order_94908_BSG_rti150yx_3_data.txt     Data      Brissago                             Precipitation; date of the maximum daily total of the year  1936-2020
