 

stn;time;hto000y0
SAE;1959;92
SAE;1960;109
SAE;1961;88
SAE;1962;113
SAE;1963;108
SAE;1964;73
SAE;1965;186
SAE;1966;195
SAE;1967;270
SAE;1968;183
SAE;1969;107
SAE;1970;288
SAE;1971;140
SAE;1972;80
SAE;1973;228
SAE;1974;214
SAE;1975;184
SAE;1976;143
SAE;1977;204
SAE;1978;248
SAE;1979;192
SAE;1980;345
SAE;1981;283
SAE;1982;299
SAE;1983;213
SAE;1984;205
SAE;1985;177
SAE;1986;162
SAE;1987;265
SAE;1988;252
SAE;1989;154
SAE;1990;154
SAE;1991;168
SAE;1992;227
SAE;1993;186
SAE;1994;186
SAE;1995;283
SAE;1996;143
SAE;1997;181
SAE;1998;193
SAE;1999;338
SAE;2000;271
SAE;2001;178
SAE;2002;184
SAE;2003;178
SAE;2004;256
SAE;2005;201
SAE;2006;172
SAE;2007;148
SAE;2008;244
SAE;2009;177
SAE;2010;189
SAE;2011;143
SAE;2012;277
SAE;2013;249
SAE;2014;116
SAE;2015;166
SAE;2016;182
SAE;2017;128
SAE;2018;218
SAE;2019;268
SAE;2020;152
