 

stn;time;rhh150yx
FRE;1981;10.7
FRE;1982;15.6
FRE;1983;19.5
FRE;1984;8.7
FRE;1985;11.7
FRE;1986;26.5
FRE;1987;19.4
FRE;1988;14.3
FRE;1989;34.3
FRE;1990;22.1
FRE;1991;22.5
FRE;1992;19.7
FRE;1993;20.6
FRE;1994;25.3
FRE;1995;19.3
FRE;1996;40.4
FRE;1997;11.6
FRE;1998;30.0
FRE;1999;15.8
FRE;2000;26.7
FRE;2001;14.7
FRE;2002;24.9
FRE;2003;19.3
FRE;2004;51.7
FRE;2005;16.6
FRE;2006;40.2
FRE;2007;27.7
FRE;2008;18.2
FRE;2009;37.0
FRE;2010;14.1
FRE;2011;14.8
FRE;2012;20.6
FRE;2013;16.9
FRE;2014;17.2
FRE;2015;36.8
FRE;2016;14.9
FRE;2017;10.0
FRE;2018;20.1
FRE;2019;22.7
FRE;2020;19.4
