Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95474

Filename                                Filetype  Station                              Parameter                                                   Period
order_95474_IYANT_rre002mx_1_data.txt   Data      Antholz Obertal                      Precipitation; maximum 2-day total of the month             200012-202004
order_95474_IYANT_rre002mx_1_legend.txt Legend    Antholz Obertal                      Precipitation; maximum 2-day total of the month             200012-202004
order_95474_IYANT_rre002mx_2_data.txt   Data      Antholz Obertal                      Precipitation; maximum 2-day total of the month             202005-202006
order_95474_IYANT_rre002mx_2_legend.txt Legend    Antholz Obertal                      Precipitation; maximum 2-day total of the month             202005-202006
order_95474_IYANT_rre002mx_3_data.txt   Data      Antholz Obertal                      Precipitation; maximum 2-day total of the month             202007-202104
order_95474_IYANT_rre002mx_3_legend.txt Legend    Antholz Obertal                      Precipitation; maximum 2-day total of the month             202007-202104
order_95474_VSBAS_rre002mx_1_data.txt   Data      Baltschiedertal                      Precipitation; maximum 2-day total of the month             201101-201110
order_95474_VSBAS_rre002mx_1_legend.txt Legend    Baltschiedertal                      Precipitation; maximum 2-day total of the month             201101-201110
order_95474_VSBAS_rre002mx_2_data.txt   Data      Baltschiedertal                      Precipitation; maximum 2-day total of the month             201201-201211
order_95474_VSBAS_rre002mx_2_legend.txt Legend    Baltschiedertal                      Precipitation; maximum 2-day total of the month             201201-201211
order_95474_VSBAS_rre002mx_3_data.txt   Data      Baltschiedertal                      Precipitation; maximum 2-day total of the month             201212-201307
order_95474_VSBAS_rre002mx_3_legend.txt Legend    Baltschiedertal                      Precipitation; maximum 2-day total of the month             201212-201307
order_95474_VSBAS_rre002mx_4_data.txt   Data      Baltschiedertal                      Precipitation; maximum 2-day total of the month             201308-201910
order_95474_VSBAS_rre002mx_4_legend.txt Legend    Baltschiedertal                      Precipitation; maximum 2-day total of the month             201308-201910
order_95474_VSBAS_rre002mx_5_data.txt   Data      Baltschiedertal                      Precipitation; maximum 2-day total of the month             202008-202105
order_95474_VSBAS_rre002mx_5_legend.txt Legend    Baltschiedertal                      Precipitation; maximum 2-day total of the month             202008-202105
order_95474_BEA_rre002mx_1_data.txt     Data      Beatenberg                           Precipitation; maximum 2-day total of the month             196012-198012
order_95474_BEA_rre002mx_1_legend.txt   Legend    Beatenberg                           Precipitation; maximum 2-day total of the month             196012-198012
order_95474_TIBED_rre002mx_1_data.txt   Data      Bedretto                             Precipitation; maximum 2-day total of the month             198204-199612
order_95474_TIBED_rre002mx_1_legend.txt Legend    Bedretto                             Precipitation; maximum 2-day total of the month             198204-199612
order_95474_TIBED_rre002mx_2_data.txt   Data      Bedretto                             Precipitation; maximum 2-day total of the month             199912-201111
order_95474_TIBED_rre002mx_2_legend.txt Legend    Bedretto                             Precipitation; maximum 2-day total of the month             199912-201111
order_95474_TIBED_rre002mx_3_data.txt   Data      Bedretto                             Precipitation; maximum 2-day total of the month             201112-201612
order_95474_TIBED_rre002mx_3_legend.txt Legend    Bedretto                             Precipitation; maximum 2-day total of the month             201112-201612
order_95474_TIBED_rre002mx_4_data.txt   Data      Bedretto                             Precipitation; maximum 2-day total of the month             201701-202105
order_95474_TIBED_rre002mx_4_legend.txt Legend    Bedretto                             Precipitation; maximum 2-day total of the month             201701-202105
order_95474_LAT_rre002mx_1_data.txt     Data      Bergün / Latsch                      Precipitation; maximum 2-day total of the month             197212-200505
order_95474_LAT_rre002mx_1_legend.txt   Legend    Bergün / Latsch                      Precipitation; maximum 2-day total of the month             197212-200505
order_95474_LAT_rre002mx_2_data.txt     Data      Bergün / Latsch                      Precipitation; maximum 2-day total of the month             200509-202105
order_95474_LAT_rre002mx_2_legend.txt   Legend    Bergün / Latsch                      Precipitation; maximum 2-day total of the month             200509-202105
