 

stn;time;rti150yx
CIM;1982;19820906
CIM;1983;19830901
CIM;1984;19840905
CIM;1985;19850825
CIM;1986;19860706
CIM;1987;19870717
CIM;1988;19880820
CIM;1989;19890404
CIM;1990;19900605
CIM;1991;19910926
CIM;1992;19920829
CIM;1993;19931008
CIM;1994;19940810
CIM;1995;19950919
CIM;1996;19960705
CIM;1997;19970828
CIM;1998;19980911
CIM;1999;19990925
CIM;2000;20000930
CIM;2001;20010609
CIM;2002;20020502
CIM;2003;20030828
CIM;2004;20040819
CIM;2005;20050801
CIM;2006;20061003
CIM;2007;20070821
CIM;2008;20080706
CIM;2009;20090606
CIM;2010;20100502
CIM;2011;20110707
