 

stn;time;rre150yx
KAL;1900;34.6
KAL;1901;47.9
KAL;1902;40.1
KAL;1903;54.1
KAL;1904;41.6
KAL;1905;41.5
KAL;1906;53.1
KAL;1907;35.1
KAL;1908;77.2
KAL;1909;43.1
KAL;1910;47.2
KAL;1911;41.7
KAL;1912;39.0
KAL;1913;36.5
KAL;1914;36.2
KAL;1915;35.5
KAL;1916;30.1
KAL;1917;56.9
KAL;1918;32.5
KAL;1919;28.1
KAL;1920;25.4
KAL;1921;31.6
KAL;1922;44.6
KAL;1923;26.8
KAL;1924;35.9
KAL;1925;43.0
KAL;1926;54.4
KAL;1927;32.0
KAL;1928;34.8
KAL;1929;42.4
KAL;1930;31.4
KAL;1931;82.4
KAL;1932;30.2
KAL;1933;49.1
KAL;1934;56.0
KAL;1935;38.0
KAL;1936;32.5
KAL;1937;29.0
KAL;1938;55.9
KAL;1939;55.1
KAL;1940;45.8
KAL;1941;24.1
KAL;1942;30.4
KAL;1943;20.2
KAL;1944;51.4
KAL;1945;67.4
KAL;1946;53.1
KAL;1947;33.0
KAL;1948;32.1
KAL;1949;22.6
KAL;1950;43.9
KAL;1951;27.9
KAL;1952;32.4
KAL;1953;54.5
KAL;1954;49.5
KAL;1955;46.2
KAL;1956;37.7
KAL;1957;40.0
KAL;1958;65.5
KAL;1959;82.0
KAL;1960;55.0
KAL;1961;29.0
KAL;1962;37.9
KAL;1963;68.8
KAL;1964;48.2
KAL;1965;48.9
KAL;1966;33.6
KAL;1967;41.3
KAL;1968;70.4
KAL;1969;50.3
KAL;1970;39.4
KAL;1971;38.7
KAL;1972;79.2
KAL;1973;54.2
KAL;1974;51.3
KAL;1975;46.6
KAL;1976;143.2
KAL;1977;55.8
KAL;1978;87.8
KAL;1979;38.0
KAL;1980;30.6
KAL;1981;49.6
KAL;1982;36.8
KAL;1983;40.1
KAL;1984;47.3
KAL;1985;35.5
KAL;1986;66.5
KAL;1987;54.3
KAL;1988;34.3
KAL;1989;34.1
KAL;1990;27.7
KAL;1991;58.5
KAL;1992;36.7
KAL;1993;44.0
KAL;1994;104.5
KAL;1995;64.0
KAL;1996;34.9
KAL;1997;34.4
KAL;1998;39.8
KAL;1999;45.8
KAL;2000;53.2
KAL;2001;46.8
KAL;2002;39.1
KAL;2003;33.7
KAL;2004;29.5
KAL;2005;42.5
KAL;2006;43.7
KAL;2007;53.7
KAL;2008;48.8
KAL;2009;59.9
KAL;2010;35.5
KAL;2011;29.6
