 

stn;time;hns000y0
GVE;1963;59
GVE;1964;71
GVE;1965;100
GVE;1966;43
GVE;1967;18
GVE;1968;59
GVE;1969;26
GVE;1970;64
GVE;1971;29
GVE;1972;16
GVE;1973;27
GVE;1974;20
GVE;1975;5
GVE;1976;39
GVE;1977;30
GVE;1978;48
GVE;1979;65
GVE;1980;26
GVE;1981;92
GVE;1982;2
GVE;1983;14
GVE;1984;92
GVE;1985;90
GVE;1986;87
GVE;1987;23
GVE;1988;10
GVE;1989;8
GVE;1990;34
GVE;1991;28
GVE;1992;1
GVE;1993;29
GVE;1994;9
GVE;1995;46
GVE;1996;20
GVE;1997;19
GVE;1998;15
GVE;1999;32
GVE;2000;4
GVE;2001;17
GVE;2002;12
GVE;2003;13
GVE;2004;22
GVE;2005;64
GVE;2006;16
GVE;2007;12
GVE;2008;21
GVE;2009;18
GVE;2010;111
GVE;2011;5
GVE;2012;30
GVE;2013;58
GVE;2014;7
GVE;2015;25
GVE;2016;12
GVE;2017;19
GVE;2018;30
GVE;2019;20
GVE;2020;1
