 

stn;time;tnd00xy0
DLBWB;1949;9
DLBWB;1950;27
DLBWB;1951;3
DLBWB;1952;23
DLBWB;1953;19
DLBWB;1954;27
DLBWB;1955;17
DLBWB;1956;35
DLBWB;1957;6
DLBWB;1958;3
DLBWB;1959;8
DLBWB;1960;14
DLBWB;1961;11
DLBWB;1962;20
DLBWB;1963;47
DLBWB;1964;18
DLBWB;1965;16
DLBWB;1966;11
DLBWB;1967;16
DLBWB;1968;23
DLBWB;1969;37
DLBWB;1970;20
DLBWB;1971;17
DLBWB;1972;9
DLBWB;1973;11
DLBWB;1974;0
DLBWB;1975;5
DLBWB;1976;8
DLBWB;1977;6
DLBWB;1978;21
DLBWB;1979;14
DLBWB;1980;23
DLBWB;1981;11
DLBWB;1982;10
DLBWB;1983;14
DLBWB;1984;6
DLBWB;1985;33
DLBWB;1986;29
DLBWB;1987;31
DLBWB;1988;6
DLBWB;1989;1
DLBWB;1990;8
DLBWB;1991;20
DLBWB;1992;9
DLBWB;1993;20
DLBWB;1994;4
DLBWB;1995;17
DLBWB;1996;30
DLBWB;1997;16
DLBWB;1998;20
DLBWB;1999;16
DLBWB;2000;5
