 

stn;time;rhh150yx
CGI;1981;14.0
CGI;1982;11.2
CGI;1983;21.4
CGI;1984;10.8
CGI;1985;23.7
CGI;1986;19.8
CGI;1987;10.9
CGI;1988;14.4
CGI;1989;11.0
CGI;1990;21.8
CGI;1991;9.9
CGI;1992;34.0
CGI;1993;32.7
CGI;1994;47.8
CGI;1995;15.4
CGI;1996;24.3
CGI;1997;16.0
CGI;1998;9.3
CGI;1999;17.0
CGI;2000;13.2
CGI;2001;11.0
CGI;2002;13.8
CGI;2003;13.8
CGI;2004;13.5
CGI;2005;32.9
CGI;2006;10.1
CGI;2007;17.5
CGI;2008;14.7
CGI;2009;9.1
CGI;2010;12.0
CGI;2011;9.3
CGI;2012;13.9
CGI;2013;21.9
CGI;2014;12.1
CGI;2015;24.6
CGI;2016;10.7
CGI;2017;14.8
CGI;2018;33.6
CGI;2019;28.3
CGI;2020;14.5
