 

stn;time;hto000y0
CHM;1964;2
CHM;1965;17
CHM;1966;13
CHM;1967;4
CHM;1968;23
CHM;1969;15
CHM;1970;36
CHM;1971;9
CHM;1972;4
CHM;1973;18
CHM;1974;5
CHM;1975;3
CHM;1976;6
CHM;1977;11
CHM;1978;15
CHM;1979;4
CHM;1980;10
CHM;1981;25
CHM;1982;15
CHM;1983;7
CHM;1984;23
CHM;1985;7
CHM;1986;17
CHM;1987;12
CHM;1988;13
CHM;1989;2
CHM;1990;4
CHM;1991;5
CHM;1992;5
CHM;1993;4
CHM;1994;5
CHM;1995;9
CHM;1996;9
CHM;1997;2
CHM;1998;6
CHM;1999;12
CHM;2000;5
CHM;2001;2
CHM;2002;3
CHM;2003;7
CHM;2004;7
CHM;2005;13
CHM;2006;15
CHM;2007;3
CHM;2008;4
CHM;2009;16
CHM;2010;8
CHM;2011;2
CHM;2012;8
CHM;2013;6
CHM;2014;4
CHM;2015;7
CHM;2016;4
CHM;2017;6
CHM;2018;2
CHM;2019;6
CHM;2020;2
