 

stn;time;hns000y0
LAG;1931;311
LAG;1932;64
LAG;1933;133
LAG;1934;117
LAG;1935;257
LAG;1936;107
LAG;1937;164
LAG;1938;182
LAG;1939;214
LAG;1940;193
LAG;1941;205
LAG;1942;204
LAG;1943;154
LAG;1944;281
LAG;1945;266
LAG;1946;90
LAG;1947;138
LAG;1948;45
LAG;1949;115
LAG;1950;120
LAG;1951;137
LAG;1952;294
LAG;1953;156
LAG;1954;159
LAG;1955;161
LAG;1956;99
LAG;1957;91
LAG;1958;234
LAG;1959;97
LAG;1960;110
LAG;1961;82
LAG;1962;232
LAG;1963;179
LAG;1964;144
LAG;1965;241
LAG;1966;188
LAG;1967;157
LAG;1968;270
LAG;1969;209
LAG;1970;239
LAG;1971;71
LAG;1972;57
LAG;1973;196
LAG;1974;63
LAG;1975;89
LAG;1976;145
LAG;1977;134
LAG;1978;164
LAG;1979;244
LAG;1980;157
LAG;1981;266
LAG;1982;103
LAG;1983;99
LAG;1984;189
LAG;1985;186
LAG;1986;220
LAG;1987;154
LAG;1988;196
LAG;1989;18
LAG;1990;89
LAG;1991;65
LAG;1992;50
LAG;1993;102
LAG;1994;48
LAG;1995;205
LAG;1996;103
LAG;1997;13
LAG;1998;145
LAG;1999;347
LAG;2000;54
LAG;2001;130
LAG;2002;34
LAG;2003;150
LAG;2004;145
LAG;2005;238
LAG;2006;95
LAG;2007;118
LAG;2008;193
LAG;2009;167
LAG;2010;204
LAG;2011;81
LAG;2012;173
LAG;2013;116
LAG;2014;37
LAG;2015;78
LAG;2016;27
LAG;2017;166
LAG;2018;29
LAG;2019;85
LAG;2020;41
