Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95483

Filename                                Filetype  Station                              Parameter                                                   Period
order_95483_MMBIS_rre003mx_4_data.txt   Data      Bisisthal                            Precipitation; maximum 3-day total of the month             201610-201704
order_95483_MMBIS_rre003mx_4_legend.txt Legend    Bisisthal                            Precipitation; maximum 3-day total of the month             201610-201704
order_95483_MMBIS_rre003mx_5_data.txt   Data      Bisisthal                            Precipitation; maximum 3-day total of the month             201705-201805
order_95483_MMBIS_rre003mx_5_legend.txt Legend    Bisisthal                            Precipitation; maximum 3-day total of the month             201705-201805
order_95483_MMBIS_rre003mx_6_data.txt   Data      Bisisthal                            Precipitation; maximum 3-day total of the month             201806-201901
order_95483_MMBIS_rre003mx_6_legend.txt Legend    Bisisthal                            Precipitation; maximum 3-day total of the month             201806-201901
order_95483_MMBIS_rre003mx_7_data.txt   Data      Bisisthal                            Precipitation; maximum 3-day total of the month             201903-201905
order_95483_MMBIS_rre003mx_7_legend.txt Legend    Bisisthal                            Precipitation; maximum 3-day total of the month             201903-201905
order_95483_MMBIS_rre003mx_8_data.txt   Data      Bisisthal                            Precipitation; maximum 3-day total of the month             201906-202105
order_95483_MMBIS_rre003mx_8_legend.txt Legend    Bisisthal                            Precipitation; maximum 3-day total of the month             201906-202105
order_95483_DLBLU_rre003mx_1_data.txt   Data      Blumberg / Randen                    Precipitation; maximum 3-day total of the month             202102-202105
order_95483_DLBLU_rre003mx_1_legend.txt Legend    Blumberg / Randen                    Precipitation; maximum 3-day total of the month             202102-202105
order_95483_BOT_rre003mx_1_data.txt     Data      Boltigen                             Precipitation; maximum 3-day total of the month             190007-201804
order_95483_BOT_rre003mx_1_legend.txt   Legend    Boltigen                             Precipitation; maximum 3-day total of the month             190007-201804
order_95483_BOL_rre003mx_1_data.txt     Data      Boltigen                             Precipitation; maximum 3-day total of the month             201212-201505
order_95483_BOL_rre003mx_1_legend.txt   Legend    Boltigen                             Precipitation; maximum 3-day total of the month             201212-201505
order_95483_BOL_rre003mx_2_data.txt     Data      Boltigen                             Precipitation; maximum 3-day total of the month             201507-201705
order_95483_BOL_rre003mx_2_legend.txt   Legend    Boltigen                             Precipitation; maximum 3-day total of the month             201507-201705
order_95483_BOL_rre003mx_3_data.txt     Data      Boltigen                             Precipitation; maximum 3-day total of the month             201706-202105
order_95483_BOL_rre003mx_3_legend.txt   Legend    Boltigen                             Precipitation; maximum 3-day total of the month             201706-202105
order_95483_BOV_rre003mx_1_data.txt     Data      Boudevilliers                        Precipitation; maximum 3-day total of the month             196712-200309
order_95483_BOV_rre003mx_1_legend.txt   Legend    Boudevilliers                        Precipitation; maximum 3-day total of the month             196712-200309
order_95483_BOV_rre003mx_2_data.txt     Data      Boudevilliers                        Precipitation; maximum 3-day total of the month             200409-201905
order_95483_BOV_rre003mx_2_legend.txt   Legend    Boudevilliers                        Precipitation; maximum 3-day total of the month             200409-201905
order_95483_BOV_rre003mx_3_data.txt     Data      Boudevilliers                        Precipitation; maximum 3-day total of the month             201906-202105
order_95483_BOV_rre003mx_3_legend.txt   Legend    Boudevilliers                        Precipitation; maximum 3-day total of the month             201906-202105
order_95483_BRT_rre003mx_1_data.txt     Data      Bristen                              Precipitation; maximum 3-day total of the month             198112-202105
order_95483_BRT_rre003mx_1_legend.txt   Legend    Bristen                              Precipitation; maximum 3-day total of the month             198112-202105
order_95483_IYBRU_rre003mx_1_data.txt   Data      Bruneck                              Precipitation; maximum 3-day total of the month             200012-202105
order_95483_IYBRU_rre003mx_1_legend.txt Legend    Bruneck                              Precipitation; maximum 3-day total of the month             200012-202105
order_95483_BRP_rre003mx_1_data.txt     Data      Brusio                               Precipitation; maximum 3-day total of the month             186401-186402
order_95483_BRP_rre003mx_1_legend.txt   Legend    Brusio                               Precipitation; maximum 3-day total of the month             186401-186402
order_95483_BRP_rre003mx_2_data.txt     Data      Brusio                               Precipitation; maximum 3-day total of the month             190009-201510
order_95483_BRP_rre003mx_2_legend.txt   Legend    Brusio                               Precipitation; maximum 3-day total of the month             190009-201510
order_95483_BRP_rre003mx_3_data.txt     Data      Brusio                               Precipitation; maximum 3-day total of the month             202104-202105
order_95483_BRP_rre003mx_3_legend.txt   Legend    Brusio                               Precipitation; maximum 3-day total of the month             202104-202105
order_95483_DLBUK_rre003mx_1_data.txt   Data      Buchenberg / Kreuzthal               Precipitation; maximum 3-day total of the month             202104-202105
order_95483_DLBUK_rre003mx_1_legend.txt Legend    Buchenberg / Kreuzthal               Precipitation; maximum 3-day total of the month             202104-202105
order_95483_BCK_rre003mx_1_data.txt     Data      Bürgenstock                          Precipitation; maximum 3-day total of the month             196012-198612
order_95483_BCK_rre003mx_1_legend.txt   Legend    Bürgenstock                          Precipitation; maximum 3-day total of the month             196012-198612
order_95483_CNI_rre003mx_1_data.txt     Data      Cernier                              Precipitation; maximum 3-day total of the month             190001-191712
order_95483_CNI_rre003mx_1_legend.txt   Legend    Cernier                              Precipitation; maximum 3-day total of the month             190001-191712
order_95483_CNI_rre003mx_2_data.txt     Data      Cernier                              Precipitation; maximum 3-day total of the month             192912-196212
order_95483_CNI_rre003mx_2_legend.txt   Legend    Cernier                              Precipitation; maximum 3-day total of the month             192912-196212
order_95483_CVI_rre003mx_1_data.txt     Data      Chalet du Villars                    Precipitation; maximum 3-day total of the month             197212-198409
order_95483_CVI_rre003mx_1_legend.txt   Legend    Chalet du Villars                    Precipitation; maximum 3-day total of the month             197212-198409
order_95483_CHF_rre003mx_1_data.txt     Data      Champ-Fahy                           Precipitation; maximum 3-day total of the month             190012-192112
