 

stn;time;fklnd3m0
EBK;199712;0
EBK;199801;0
EBK;199802;0
EBK;199803;0
EBK;199804;0
EBK;199805;0
EBK;199806;0
EBK;199807;0
EBK;199808;0
EBK;199809;0
EBK;199810;0
EBK;199811;0
EBK;199812;0
EBK;199901;0
EBK;199902;0
EBK;199903;0
EBK;199904;0
EBK;199905;0
EBK;199906;0
EBK;199907;0
EBK;199908;0
EBK;199909;0
EBK;199910;0
EBK;199911;0
EBK;199912;0
EBK;200001;0
EBK;200002;0
EBK;200003;0
EBK;200004;0
EBK;200005;0
EBK;200006;0
EBK;200007;0
EBK;200008;0
EBK;200009;0
EBK;200010;0
EBK;200011;0
EBK;200012;0
EBK;200101;0
EBK;200102;0
EBK;200103;0
EBK;200104;0
EBK;200105;0
EBK;200106;0
EBK;200107;0
EBK;200108;0
EBK;200109;0
EBK;200110;0
EBK;200111;0
EBK;200112;0
EBK;200201;0
EBK;200202;0
EBK;200203;0
EBK;200204;0
EBK;200205;0
EBK;200206;0
EBK;200207;0
EBK;200208;0
EBK;200209;0
EBK;200210;0
EBK;200211;0
EBK;200212;0
EBK;200301;0
EBK;200302;0
EBK;200303;0
EBK;200304;0
EBK;200305;0
EBK;200306;0
EBK;200307;0
EBK;200308;0
EBK;200309;0
EBK;200310;0
EBK;200311;0
EBK;200312;0
EBK;200401;0
EBK;200402;0
EBK;200403;0
EBK;200404;0
EBK;200405;0
EBK;200406;0
EBK;200407;0
EBK;200408;0
EBK;200409;0
EBK;200410;0
EBK;200411;0
EBK;200412;0
EBK;200501;0
EBK;200502;0
EBK;200503;0
EBK;200504;0
EBK;200505;0
EBK;200506;0
EBK;200507;0
EBK;200508;0
EBK;200509;0
EBK;200510;0
EBK;200511;0
EBK;200512;0
EBK;200601;0
EBK;200602;0
EBK;200603;0
EBK;200604;0
EBK;200605;0
EBK;200606;0
EBK;200607;0
EBK;200608;0
EBK;200609;0
EBK;200610;0
EBK;200611;0
EBK;200612;0
EBK;200701;0
EBK;200702;0
EBK;200703;0
EBK;200704;0
EBK;200705;0
EBK;200706;0
EBK;200707;0
EBK;200708;0
EBK;200709;0
EBK;200710;0
EBK;200711;0
EBK;200712;0
EBK;200801;0
EBK;200802;0
EBK;200803;0
EBK;200804;0
EBK;200805;0
EBK;200806;0
EBK;200807;0
EBK;200808;0
EBK;200809;0
EBK;200810;0
EBK;200811;0
EBK;200812;0
EBK;200901;0
EBK;200902;0
EBK;200903;0
EBK;200904;0
EBK;200905;0
EBK;200906;0
EBK;200907;0
EBK;200908;0
EBK;200909;0
EBK;200910;0
EBK;200911;0
EBK;200912;0
EBK;201001;0
EBK;201002;0
EBK;201003;0
EBK;201004;0
EBK;201005;0
EBK;201006;0
EBK;201007;0
EBK;201008;0
EBK;201009;0
EBK;201010;0
EBK;201011;0
