 

stn;time;hto000y0
MSO;1960;2
MSO;1961;8
MSO;1962;22
MSO;1963;27
MSO;1964;3
MSO;1965;22
MSO;1966;25
MSO;1967;15
MSO;1968;30
MSO;1969;25
MSO;1970;49
MSO;1971;16
MSO;1972;4
MSO;1973;24
MSO;1974;11
MSO;1975;5
MSO;1976;13
MSO;1977;14
MSO;1978;23
MSO;1979;8
MSO;1980;29
MSO;1981;37
MSO;1982;25
MSO;1983;12
